"name","artist","start time","end time","playtime","deck","","bpm","key","year","genre","bitrate","album","length"
"A Thousand Miles (Nick Bike QH Tool)","Vanessa Carlton","6:15:45 PM","6:16:23 PM","00:00:38","2","","95","B","","Other","","",""
"A Thousand Miles (Nick Bike QH Tool)","Vanessa Carlton","6:16:09 PM","6:17:32 PM","00:01:23","1","","95","B","","Other","","",""
"On Chill (Berger's Mix) (Mixshow Edit) (Clean) - 2A - 95","Wale feat Jeremih","6:16:47 PM","6:18:29 PM","00:01:42","2","","95","Ebm","2019","Rap","","On Chill (Berger's Mix) CDS",""
"Young, Wild & Free (Intro - Dirty)","Wiz Khalifa ft Snoop Dogg & Bruno Mars","6:17:32 PM","6:19:39 PM","00:02:07","1","","95","Em","","Other","","",""
"Summertime (DJ Bizzon x TBG Love U Alwayz Bootleg) CLEAN","Will Smith","6:18:29 PM","6:20:25 PM","00:01:56","2","","95","F#m","","","","",""
"Toot It & Boot It (Intro - Dirty)","YG","6:19:39 PM","6:22:41 PM","00:03:02","1","","95","Ebm","","Other","","",""
"Say I Yi Yi (LNRP Mixshow Edit) (Clean)","Ying Yang Twins","6:21:02 PM","6:25:18 PM","00:04:16","2","","95","G#m","1999","Other","","Say I Yi Yi CDS",""
"Zhane - Sending My Love (The London Bootleg) CLEAN","Zhane","6:23:06 PM","6:27:06 PM","00:04:00","1","","98","Em","","","","",""
"Can't Go For That (LP Verison)","2 Chainz (feat Ty Dolla $ & Lil Duval)","6:25:18 PM","6:28:29 PM","00:03:11","2","","99","Dm","2020","Hip-Hop/Rap","","So Help Me God!",""
"Karma (Karmastition Remix)","Alicia Keys","6:27:36 PM","6:31:14 PM","00:03:38","1","","99","Ebm","","Other","","Karmastition Remix",""
"Let's Stay Together (DJ Son Edit)","Al Green","6:29:05 PM","6:33:09 PM","00:04:04","2","","99","Am","2021","Other","","",""
"Body Movin' (LP Version)","Beastie Boys","6:31:14 PM","6:32:03 PM","00:00:49","1","","99","Bbm","1998","Rap","","Hello Nasty",""
"Put Your Hands Where My Eyes Could See (Kutt Edit)","Busta Rhymes","6:32:36 PM","6:34:59 PM","00:02:23","1","","99","G#m","1997","Hip-Hop","","www.BarBangerz.com",""
"Put Your Hands Where My Eyes Could See (Kutt Edit)","Busta Rhymes","6:33:09 PM","6:34:30 PM","00:01:21","2","","99","G#m","1997","Hip-Hop","","www.BarBangerz.com",""
"Mince Meat","Dangerdoom","6:34:38 PM","6:36:41 PM","00:02:03","2","","99","C#m","2005","Rap","","The Mouse & The Mask",""
"They Want EFX (Remix) (Quick Hit Clean)","Das EFX","6:34:59 PM","6:38:05 PM","00:03:06","1","","99","C#m","1992","Hip Hop","","",""
"Set It Off The Books","DalPlatinum","6:36:41 PM","6:38:10 PM","00:01:29","2","","99","Em","2021","Other","","",""
"Set It Off The Books","DalPlatinum","6:38:05 PM","6:39:15 PM","00:01:10","1","","99","Em","2021","Other","","",""
"Mistadobolina","Del Tha Funkee Homosapien","6:38:10 PM","6:40:35 PM","00:02:25","2","","99","Am","1991","Hip-Hop","","Mistadobalina VLS",""
"Money Aint A Thang X 7 Minutes Of Funk (DJ A-L Blend)","DJ A-L","6:39:36 PM","6:42:05 PM","00:02:29","1","","99","Bm","2021","","","Classic Combinations [DJ A-L Blend Compilation]",""
"Stay (LNRP Mixshow Edit) (Clean)","Eternal","6:40:42 PM","6:43:11 PM","00:02:29","2","","99","Cm","1993","Other","","Stay CDS",""
"Dreams (Clean) (Extended)","Gabrielle","6:42:05 PM","6:44:40 PM","00:02:35","1","","99","A","","Top 40","","",""
"Dwyck (DJ A-L Impeach Edit)","Gang Starr","6:43:23 PM","6:46:49 PM","00:03:26","2","","99","Cm","2021","Other","","",""
"Dwyck (DJ A-L Impeach Edit)","Gang Starr","6:44:40 PM","6:46:49 PM","00:02:09","1","","99","Cm","2021","Other","","",""
