"name","key","bpm","start time","end time","playtime","deck","","song","#","artist"
"Party In The U.S.A.","Ebm","96","10:35:34 PM EDT","10:36:44 PM EDT","00:01:10","1","","Party In The U.S.A.","","Miley Cyrus"
"Baby One More Time","Cm","93","10:36:09 PM EDT","10:37:35 PM EDT","00:01:26","2","","Baby One More Time","","Britney Spears"
"Señorita","Ebm","98","10:36:44 PM EDT","10:38:47 PM EDT","00:02:03","1","","Señorita","","Justin Timberlake feat. Pharrell Williams"
"jason derulo feat 2chainz - talk dirty","F#m","100","10:37:35 PM EDT","10:39:53 PM EDT","00:02:18","2","","jason derulo feat 2chainz - talk dirty","",""
"Worth It","Cm","100","10:38:47 PM EDT","10:43:02 PM EDT","00:04:15","1","","Worth It","","Fifth Harmony ft. Kid Ink"
"I Got 5 On It","Bbm","87","10:39:53 PM EDT","10:40:42 PM EDT","00:00:49","2","","I Got 5 On It","","Luniz"
"Goodies lw","Fm","102","10:40:42 PM EDT","10:44:24 PM EDT","00:03:42","2","","Goodies lw","","Ciara ft. Petey Pablo"
"05- Hip Hop 4Point62 - big momo$","C#m","104","10:43:38 PM EDT","10:44:57 PM EDT","00:01:19","1","","05- Hip Hop 4Point62 - big momo$","",""
"05- Hip Hop 4Point62 - big momo$","C#m","104","10:44:24 PM EDT","10:45:42 PM EDT","00:01:18","2","","05- Hip Hop 4Point62 - big momo$","",""
"05- Hip Hop 4Point62 - big momo$","C#m","104","10:44:57 PM EDT","10:45:15 PM EDT","00:00:18","1","","05- Hip Hop 4Point62 - big momo$","",""
"05- Hip Hop 4Point62 - big momo$","C#m","104","10:45:32 PM EDT","10:46:10 PM EDT","00:00:38","1","","05- Hip Hop 4Point62 - big momo$","",""
"All Night Long","Ebm","109","10:45:42 PM EDT","10:47:19 PM EDT","00:01:37","2","","All Night Long","","Lionel Richie"
"110bpm - jagged edge - let's get married remix - INSTRUMENTAL","Cm","110","10:46:10 PM EDT","10:47:33 PM EDT","00:01:23","1","","110bpm - jagged edge - let's get married remix - INSTRUMENTAL","",""
"110bpm - jagged edge - let's get married remix - SINGLE","G#m","110","10:47:19 PM EDT","10:48:37 PM EDT","00:01:18","2","","110bpm - jagged edge - let's get married remix - SINGLE","",""
"110bpm - jagged edge - let's get married remix - SINGLE","G#m","110","10:47:33 PM EDT","10:49:10 PM EDT","00:01:37","1","","110bpm - jagged edge - let's get married remix - SINGLE","",""
"sugar hill gang rappers delight 32b32","Am","111","10:48:37 PM EDT","10:49:29 PM EDT","00:00:52","2","","sugar hill gang rappers delight 32b32","",""
"Walk This Way (16 INTRO)","Am","106","10:49:10 PM EDT","10:50:53 PM EDT","00:01:43","1","","Walk This Way (16 INTRO)","","Run DMC"
"cd 06 01 Mike D Scratch Samples","","1","10:49:40 PM EDT","10:50:02 PM EDT","00:00:22","2","","cd 06 01 Mike D Scratch Samples","",""
"113bpm ciara 1 2 step 32 (master)","Cm","113","10:50:02 PM EDT","10:52:25 PM EDT","00:02:23","2","","113bpm ciara 1 2 step 32 (master)","",""
"117bpm michael jackson billie jean 32 32 (master)","F#m","117","10:51:03 PM EDT","10:53:48 PM EDT","00:02:45","1","","117bpm michael jackson billie jean 32 32 (master)","",""
"ÿþ1","Ebm","119","10:52:29 PM EDT","10:54:58 PM EDT","00:02:29","2","","ÿþ1","",""
"Move Ya Body ft Jabba - CLEAN","F#m","121","10:53:48 PM EDT","10:56:07 PM EDT","00:02:19","1","","Move Ya Body ft Jabba - CLEAN","","Nina Sky"
"Temperature (Even Steve 'Bananza' Tik Tok Intro Edit) Intro - Clean","Gm","125","10:54:58 PM EDT","10:57:50 PM EDT","00:02:52","2","","Temperature (Even Steve 'Bananza' Tik Tok Intro Edit) Intro - Clean","","Sean Paul vs Akon"
"Living On A Prayer - SH INTRO","Em","123","10:56:07 PM EDT","10:58:52 PM EDT","00:02:45","1","","Living On A Prayer - SH INTRO","","Bon Jovi"
"I Like It (Dirty)","Fm","68","10:57:50 PM EDT","11:01:18 PM EDT","00:03:28","2","","I Like It (Dirty)","","Cardi B ft. Bad Bunny & J Balvin"
"Pony","G#m","71","10:59:24 PM EDT","11:02:06 PM EDT","00:02:42","1","","Pony","","Ginuwine"
"Dirt Off Your Shoulder (Trap Remix) (Acap In)","Bbm","82","11:01:36 PM EDT","11:03:40 PM EDT","00:02:04","2","","Dirt Off Your Shoulder (Trap Remix) (Acap In)","","JAYZ"
"Trap Queen (Dirty)","Am","74","11:02:06 PM EDT","11:04:19 PM EDT","00:02:13","1","","Trap Queen (Dirty)","","Fetty Wap"
"Niggas In Paris (Dirty)","Fm","70","11:03:40 PM EDT","11:06:20 PM EDT","00:02:40","2","","Niggas In Paris (Dirty)","","Jay-Z and Kanye West"
"Niggas In Paris (Dirty)","Fm","70","11:04:19 PM EDT","11:05:08 PM EDT","00:00:49","1","","Niggas In Paris (Dirty)","","Jay-Z and Kanye West"
"Bottoms Up (Dirty)","Cm","74","11:05:08 PM EDT","11:07:29 PM EDT","00:02:21","1","","Bottoms Up (Dirty)","","Trey Songz ft. Nicki Minaj"
"Dance [Remix] (Dirty)","Em","80","11:06:20 PM EDT","11:08:28 PM EDT","00:02:08","2","","Dance [Remix] (Dirty)","","Big Sean ft. Nicki Minaj"
"Cake [Remix] (Dirty)","Gm","80","11:07:29 PM EDT","11:09:07 PM EDT","00:01:38","1","","Cake [Remix] (Dirty)","","Rihanna ft. Chris Brown"
"Paper Planes","Gm","86","11:08:34 PM EDT","11:10:11 PM EDT","00:01:37","2","","Paper Planes","","M.I.A"
"Up (DJcity Intro - Clean)","Em","83","11:09:21 PM EDT","11:10:59 PM EDT","00:01:38","1","","Up (DJcity Intro - Clean)","","Cardi B"
"Starships - Tall Boys 100-125 Transition (Clean)","Bm","125","11:10:11 PM EDT","11:11:26 PM EDT","00:01:15","2","","Starships - Tall Boys 100-125 Transition (Clean)","","Nicki Minaj"
"Starships (Intro/ Clean)","Bm","125","11:10:59 PM EDT","11:14:05 PM EDT","00:03:06","1","","Starships (Intro/ Clean)","","Nicki Minaj"
"One More Time","D","123","11:11:26 PM EDT","11:14:58 PM EDT","00:03:32","2","","One More Time","","Daft Punk"
"I Love It (Intro - Clean)","G#m","126","11:14:05 PM EDT","11:16:23 PM EDT","00:02:18","1","","I Love It (Intro - Clean)","","Iconapop"
"We Found Love (R3hab Extended Mix)","Ebm","128","11:14:58 PM EDT","11:17:54 PM EDT","00:02:56","2","","We Found Love (R3hab Extended Mix)","","Rihanna feat. Calvin Harris"
"Pepas (Ultimix by Mark Roberts)","Em","130","11:16:23 PM EDT","11:20:57 PM EDT","00:04:34","1","","Pepas (Ultimix by Mark Roberts)","","Farruko"
"The Kid LAROI & Justin Bieber - Stay (Dirty)","Fm","85","11:19:13 PM EDT","11:23:02 PM EDT","00:03:49","2","","The Kid LAROI & Justin Bieber - Stay (Dirty)","","The Kid LAROI & Justin Bieber"
"Dan + Shay - From The Ground Up","A","76","11:21:42 PM EDT","11:26:59 PM EDT","00:05:17","1","","Dan + Shay - From The Ground Up","",""
"John Legend - All Of Me","Db","126","11:23:18 PM EDT","11:33:58 PM EDT","00:10:40","2","","John Legend - All Of Me","",""
