name,artist,start time,end time,playtime,deck,,bpm,key,year,genre,bitrate,song,album
Made You Look (LP Version),Nas,6:02:45 PM,6:04:50 PM,0:02:05,2,,95,Fm,2002,Pop,,Made You Look (LP Version),God's Son
Rihanna - Kiss It Better - The Dj Mike D Mix (Explicit Intro-Outro),Rihanna,6:03:31 PM,6:03:52 PM,0:00:21,1,,95,Bbm,,,,Rihanna - Kiss It Better - The Dj Mike D Mix (Explicit Intro-Outro),
Lay Low (LNRP Mixshow Edit) (Clean),Snoop Dogg Feat Nate Dogg and Tha Eastsidaz,6:03:52 PM,6:06:19 PM,0:02:27,1,,95,Em,2001,Rap,,Lay Low (LNRP Mixshow Edit) (Clean),Lay Low CDS
Tha Alkaholiks - Make Room (Nick Bike's Come Down Edit),The Alkaholiks,6:04:56 PM,6:05:27 PM,0:00:31,2,,95,Bm,,Other,,Tha Alkaholiks - Make Room (Nick Bike's Come Down Edit),
Dope (Dirty),Tyga (feat Rick Ross),6:05:29 PM,6:07:04 PM,0:01:35,2,,95,B,2013,Hip-Hop,,Dope (Dirty),Hotel California - LP
Check the Rhime (CLEAN) (MM Edit),A Tribe Called Quest,6:06:21 PM,6:08:58 PM,0:02:37,1,,96,A,1991,90s Hip Hop #BOOMBAP,,Check the Rhime (CLEAN) (MM Edit),DJ Mighty Moves Edits - Native Tongues
jungle flip,austin marc,6:07:07 PM,6:07:27 PM,0:00:20,2,,96,C#m,2020,,,jungle flip,2020 edits
Ballin (That Girl DJ Bizzon Bootleg) DIRTY,DJ Mustard,6:07:30 PM,6:07:49 PM,0:00:19,2,,96,Am,,,,Ballin (That Girl DJ Bizzon Bootleg) DIRTY,
Keep On Truckin' (DJ Spinna Remix) (Intro Clean),Eddie Kendricks,6:07:49 PM,6:09:32 PM,0:01:43,2,,96,Fm,1973,R&B,,Keep On Truckin' (DJ Spinna Remix) (Intro Clean),
Superwoman Pt II (LNRP Mixshow Edit) (Clean),Lil Mo Feat Fabolous,6:08:58 PM,6:10:27 PM,0:01:29,1,,96,F#m,2001,R&B,,Superwoman Pt II (LNRP Mixshow Edit) (Clean),Superwoman Pt II CDS
Poor Georgie (LNRP Mixshow Edit) (Clean),MC Lyte,6:09:32 PM,6:11:14 PM,0:01:42,2,,96,G#m,1991,Other,,Poor Georgie (LNRP Mixshow Edit) (Clean),Poor Georgie CDS
Flavor of the Month (CLEAN) (MM Edit),Black Sheep,6:10:41 PM,6:12:30 PM,0:01:49,1,,97,Bb,1991,90s Hip Hop,,Flavor of the Month (CLEAN) (MM Edit),DJ Mighty Moves Edits - Native Tongues
California (Intro - Clean),Colonel Loud ft. Ricco Barrino & Young Dolph,6:11:14 PM,6:11:26 PM,0:00:12,2,,97,Gm,,Other,,California (Intro - Clean),
Ballin (DJ Bizzon Steel Pan Intro Bootleg) DIRTY,DJ Mustard,6:11:26 PM,6:11:39 PM,0:00:13,2,,97,Am,,,,Ballin (DJ Bizzon Steel Pan Intro Bootleg) DIRTY,
Nappy Heads (Remix) (XMiX Short Cut),Fugees,6:11:41 PM,6:16:11 PM,0:04:30,2,,97,G#m,2021,Urban,,Nappy Heads (Remix) (XMiX Short Cut),XMiX Short Cutz (Feb 2021 - Side A)
Yeah Yeah U Know It (Radio Edit),Keith Murray,6:12:30 PM,6:12:49 PM,0:00:19,1,,97,Am,2003,East Coast Rap,,Yeah Yeah U Know It (Radio Edit),
Whutcha Want (MCB Edit DIRTY),Nine,6:13:32 PM,6:17:44 PM,0:04:12,1,,97,F#m,,Other,,Whutcha Want (MCB Edit DIRTY),
Ballin' (THUGLI Runnin' Edit),Roddy Rich,6:16:11 PM,6:16:20 PM,0:00:09,2,,97,Em,2020,Other,,Ballin' (THUGLI Runnin' Edit),REMIXES & EDITS VOL.2
Ballin' (THUGLI Runnin' Edit),Roddy Rich,6:16:20 PM,6:16:46 PM,0:00:26,2,,97,Em,2020,Other,,Ballin' (THUGLI Runnin' Edit),REMIXES & EDITS VOL.2
Daydreamin' (Diggz Mixshow Edit With Rap),Tatyana Ali,6:16:48 PM,6:16:59 PM,0:00:11,2,,97,Bbm,,Pop/urban,,Daydreamin' (Diggz Mixshow Edit With Rap),
Lords Of The Undeground_Funky Child (Clean Intro Outro),Various,6:16:59 PM,6:19:18 PM,0:02:19,2,,97,Fm,2020,,,Lords Of The Undeground_Funky Child (Clean Intro Outro),90's Hip Hop Edits Vol 2 Remastered
Sure Shot (DIRTY) [VM EDIT],Beastie Boys,6:17:44 PM,6:18:00 PM,0:00:16,1,,98,G#m,1994,Alternative,,Sure Shot (DIRTY) [VM EDIT],www.BarBangerz.com
A Fly Girl (Intro Clean),Boogie Boys,6:18:00 PM,6:18:12 PM,0:00:12,1,,98,Fm,,Hip Hop,,A Fly Girl (Intro Clean),
Punks Jump Up To Get Beat Down (SE) (Christyle Edit),Brand Nubian,6:18:12 PM,6:21:04 PM,0:02:52,1,,98,Dm,1992,Hip-Hop,,Punks Jump Up To Get Beat Down (SE) (Christyle Edit),www.BarBangerz.com
Call Me D-Nice,D-Nice,6:19:23 PM,6:21:13 PM,0:01:50,2,,98,G#m,1990,Hip-Hop/Rap,,Call Me D-Nice,Call Me D-Nice (Expanded Edition)
Call Me D-Nice,D-Nice,6:21:08 PM,6:22:06 PM,0:00:58,1,,98,G#m,1990,Hip-Hop/Rap,,Call Me D-Nice,Call Me D-Nice (Expanded Edition)
Brand New Funk (LNRP Mixshow Edit) (Clean),DJ Jazzy Jeff and the Fresh Prince,6:21:13 PM,6:23:39 PM,0:02:26,2,,98,Fm,1989,Hip-Hop,,Brand New Funk (LNRP Mixshow Edit) (Clean),Brand New Funk CDS
Charles Wright & The Watts 103rd Street Rhythm Band - Express Yourself (DJP NWA Edit),djp,6:22:23 PM,6:24:33 PM,0:02:10,1,,98,Ebm,2016,,,Charles Wright & The Watts 103rd Street Rhythm Band - Express Yourself (DJP NWA Edit),
The Payback (Intro Clean),James Brown,6:23:39 PM,6:25:24 PM,0:01:45,2,,98,G#m,1973,Funk,,The Payback (Intro Clean),
T.R.O.Y (Maars Re-Groove),Pete Rock & CL Smooth,6:24:33 PM,7:06:39 PM,0:42:06,1,,98,Am,2016,Other,,T.R.O.Y (Maars Re-Groove),"Bootlegs, Edits & Remixes: Vol 1"
Chico's Groove,The Chemical Brothers,6:25:24 PM,7:05:11 PM,0:39:47,2,,98,G,1995,Electronica Mainstream,,Chico's Groove,
Kiss Me More vs. Closer (XMiX Dance Bootleg),Doja Cat (feat Sza) x Sonny Fedora,7:05:11 PM,7:07:43 PM,0:02:32,2,,125,Cm,2021,Dance,,Kiss Me More vs. Closer (XMiX Dance Bootleg),XMiX Dance Series 264 (May 2021 - Part 1)
