"name","artist","start time","end time","playtime","deck","","bpm","key","year","genre","bitrate","song","album"
"Get Your Bands Up","Google Translate Assistant (feat 21 Savage)","7:52:10 PM","7:55:15 PM","00:03:05","2","","86","F#","2018","Hip-Hop/Rap","","Get Your Bands Up","Deep Web Escape (Abridged Edition)"
"Bigfoot","Røhaan & Bonnema","7:53:59 PM","7:57:43 PM","00:03:44","1","","86","G#m","2018","Dance","","Bigfoot","Qgrc-004"
"Supersonic (My Existence)","Skrillex, Noisia, josh pan & Dylan Brady","7:55:15 PM","7:59:09 PM","00:03:54","2","","86","Am","2021","Electronic","","Supersonic (My Existence)","Supersonic (My Existence) - Single"
"fruits of the carti","austin marc","7:57:43 PM","7:58:07 PM","00:00:24","1","","87","Dbm","2020","","","fruits of the carti","2020 edits"
"Play It Cool (Original Mix)","Disrupta","7:58:07 PM","7:58:25 PM","00:00:18","1","","87","Ab","2021","Drum & Bass","","Play It Cool (Original Mix)","Changes EP"
"Mmm Mmm (Funkymix Dirty)","Kali (feat ATL Jacob)","7:58:25 PM","7:59:32 PM","00:01:07","1","","87","G#m","2021","Pop","","Mmm Mmm (Funkymix Dirty)","Funkymix 273"
"I'm Still In Love With You (Nick Bike Edit)","Sean Paul ft. Sasha","7:59:09 PM","8:00:22 PM","00:01:13","2","","87","Em","","Other","","I'm Still In Love With You (Nick Bike Edit)",""
"Rule The World (Intro - Dirty)","2 Chainz ft. Ariana Grande","7:59:32 PM","8:02:03 PM","00:02:31","1","","88","Ebm","2019","R&B","","Rule The World (Intro - Dirty)",""
"Ghetto Fabulous (LNRP Mixshow Edit) (Clean)","Ras Kass feat Dr Dre and Mack 10","8:00:22 PM","8:02:53 PM","00:02:31","2","","88","Ebm","1998","Other","","Ghetto Fabulous (LNRP Mixshow Edit) (Clean)","Ghetto Fabulous CDS"
"Mix Tapes (LNRP Mixshow Edit) (Clean)","The Nonce","8:02:03 PM","8:04:37 PM","00:02:34","1","","88","Cm","1994","Old School","","Mix Tapes (LNRP Mixshow Edit) (Clean)","Mix Tapes CDS"
"Black Rob - Whoa! (THUGLI Remix)","THUGLI","8:02:53 PM","8:05:04 PM","00:02:11","2","","88","Cm","2021","","","Black Rob - Whoa! (THUGLI Remix)","REMIXES & EDITS VOL​.​3"
"Imperial (Street Tracks Remix)","Rah Digga","8:04:37 PM","8:06:35 PM","00:01:58","1","","88","Am","","Other","","Imperial (Street Tracks Remix)",""
"Yes We Can Can","The Pointer Sisters","8:05:04 PM","8:05:19 PM","00:00:15","2","","88","Cm","1997","R&B/Soul","","Yes We Can Can","The Pointer Sisters: Yes We Can Can - The Best of the Blue Thumb Recordings"
"Yes We Can Can","The Pointer Sisters","8:05:19 PM","8:06:49 PM","00:01:30","2","","88","Cm","1997","R&B/Soul","","Yes We Can Can","The Pointer Sisters: Yes We Can Can - The Best of the Blue Thumb Recordings"
"Pop That! (Popped! by SoulM8Z)","ethanplus","8:06:35 PM","8:10:00 PM","00:03:25","1","","120","Fm","2021","","","Pop That! (Popped! by SoulM8Z)","Popped That!"
"Young'n (Camtrao Holla Back Edit) [EQd]","Fabolous x Patrice Rushen","8:06:49 PM","8:07:22 PM","00:00:33","2","","120","Dm","2017","","","Young'n (Camtrao Holla Back Edit) [EQd]",""
"Coco (Extended Mix - Clean)","Black Caviar f./u.n.i.","8:07:22 PM","8:13:19 PM","00:05:57","2","","120","G#m","2017","Dance","","Coco (Extended Mix - Clean)","Coco"
"Clipse - Cot Damn (THUGLI Remix)","THUGLI","8:10:00 PM","8:13:19 PM","00:03:19","1","","118","Gm","2021","","","Clipse - Cot Damn (THUGLI Remix)","REMIXES & EDITS VOL​.​3"
