"name","artist","start time","end time","playtime","deck","","bpm","key","year","genre","bitrate","song","album"
"QTip - Breathe & Stop (DJ Bizzon Is It Real Bootleg)","DJ Bizzon !","5:12:17 PM","5:19:29 PM","00:07:12","2","","124","Am","","","","QTip - Breathe & Stop (DJ Bizzon Is It Real Bootleg)",""
"Lemonade - Raphael Nuevo & Sir Gio I Need A Girl Remix (Dirty)","Internet Money & Gunna (feat Don Toliver)","5:15:58 PM","5:21:27 PM","00:05:29","1","","124","G#m","2021","House","","Lemonade - Raphael Nuevo & Sir Gio I Need A Girl Remix (Dirty)",""
"Funking Around (Extended Mix)","Me & My Toothbrush","5:20:21 PM","5:24:15 PM","00:03:54","2","","124","Dm","2020","Dance","","Funking Around (Extended Mix)","Funking Around - Single"
"One Right Now - Sophia Body Remix (Dirty)","Post Malone & The Weeknd","5:21:27 PM","5:27:16 PM","00:05:49","1","","124","Db","2021","House","","One Right Now - Sophia Body Remix (Dirty)",""
"Telepatia (DJ Kue Remix MCB Edit)","Kali Uchis","5:25:13 PM","5:30:18 PM","00:05:05","2","","125","Bm","","Other","","Telepatia (DJ Kue Remix MCB Edit)",""
"Get Ur Freak On - Proppa Remix (Clean)","Missy Elliott","5:27:16 PM","5:34:27 PM","00:07:11","1","","127","Ebm","2021","House","","Get Ur Freak On - Proppa Remix (Clean)",""
"Addictive","STIKMATIK","5:30:58 PM","5:38:06 PM","00:07:08","2","","125","Cm","2021","House","","Addictive",""
"Thinkin Bout You - Zillionaire Remix","Frank Ocean","5:35:45 PM","5:41:12 PM","00:05:27","1","","125","Am","2021","House","","Thinkin Bout You - Zillionaire Remix",""
"On and On","Dr. Fresch","5:38:06 PM","5:45:06 PM","00:07:00","2","","125","Fm","2016","House","","On and On","On and On - Single"
"San Frandisco (Extended Mix)","Dom Dolla","5:41:12 PM","5:49:37 PM","00:08:25","1","","125","Fm","2019","Tech House","","San Frandisco (Extended Mix)","Mainstream Club November 2019"
"Push Ya Back Out","Shift K3Y","5:45:06 PM","5:53:03 PM","00:07:57","2","","126","Fm","2019","Dance","","Push Ya Back Out","Push Ya Back Out - Single"
"Something About You - Gazzo Remix","Hayden James","5:49:37 PM","5:56:04 PM","00:06:27","1","","125","Gm","","Other","","Something About You - Gazzo Remix",""
"My Head Is A Jungle - Ben Phillips Take Me High Edit","Wankelmut & Emma Louise","5:53:03 PM","5:58:12 PM","00:05:09","2","","125","Gm","2021","House","","My Head Is A Jungle - Ben Phillips Take Me High Edit",""
"On The Corner (Original Mix)","Solardo","5:56:04 PM","6:01:26 PM","00:05:22","1","","125","Ebm","2017","Tech House","","On The Corner (Original Mix)","On The Corner EP"
"The Mexican (Extended Mix)","Simon Fava, Yvvan Back","5:58:12 PM","6:05:19 PM","00:07:07","2","","125","F#m","2021","Funky House","","The Mexican (Extended Mix)","The Mexican"
"New Powers","Trayze","6:01:26 PM","6:08:04 PM","00:06:38","1","","125","Am","2019","","","New Powers","Freaks On The Floor [EP]"
"Post Malone - Wow (DJ Bizzon Don't Give Up Bootleg)","DJ Bizzon !","6:06:01 PM","6:11:24 PM","00:05:23","2","","125","F#m","","","","Post Malone - Wow (DJ Bizzon Don't Give Up Bootleg)",""
"Need To Know (Ultimix Dirty)","Doja Cat","6:08:04 PM","6:14:28 PM","00:06:24","1","","126","Bbm","2021","Pop","","Need To Know (Ultimix Dirty)","Ultimix 293"
"Same Man (MCB Short Edit)","Til West & DJ Delicious","6:11:46 PM","6:16:30 PM","00:04:44","2","","126","Fm","2006","Other","","Same Man (MCB Short Edit)",""
"On My Mind (Purple Disco Machine Remix)","Diplo & SIDEPIECE
","6:14:28 PM","6:19:25 PM","00:04:57","1","","123","Gm","2020","House","","On My Mind (Purple Disco Machine Remix)",""
"Borracho","Daddy's Groove","6:16:52 PM","6:21:59 PM","00:05:07","2","","124","11m","2020","House","","Borracho",""
"Buenos Aires","Tchami","6:19:25 PM","6:28:37 PM","00:09:12","1","","126","G#m","2020","Dance","","Buenos Aires","POOL's New Music Boot"
"Destination Calabria (UK Remix Edit)","Alex Gaudino (feat Crystal Waters)","6:23:36 PM","6:29:20 PM","00:05:44","2","","128","Am","","Other","","Destination Calabria (UK Remix Edit)",""
"DANCE 💃🏻 (CUTSO edit)","CUTSO","6:28:37 PM","6:30:32 PM","00:01:55","1","","128","Gm","2020","Other","","DANCE 💃🏻 (CUTSO edit)","Neaux Wave"
"Let The Bass Kick (Intro - Dirty)","DJ Chuckie ft Jermaine Dupri","6:29:20 PM","6:34:22 PM","00:05:02","2","","128","Am","","Other","","Let The Bass Kick (Intro - Dirty)",""
"Your Love Still Haunts Me (DJ Bam Bam EDIT)","Joseph","6:30:32 PM","6:38:08 PM","00:07:36","1","","128","Cm","","Other","","Your Love Still Haunts Me (DJ Bam Bam EDIT)",""
"Industry Baby (Kue Remix) - Dirty","Lil Nas X & Jack Harlow","6:34:31 PM","6:41:47 PM","00:07:16","2","","128","Ebm","","Tech House / Remix","","Industry Baby (Kue Remix) - Dirty",""
"Good Ones (Ultimix)","Charli XCX","6:38:12 PM","6:44:30 PM","00:06:18","1","","129","Gm","2021","Pop","","Good Ones (Ultimix)","Ultimix 295"
"Where Have You Been - FÄT TONY Remix","Rihanna","6:41:47 PM","6:47:17 PM","00:05:30","2","","128","Bbm","2021","House","","Where Have You Been - FÄT TONY Remix",""
"MHATLP (HI-LO Edit)","Oliver Heldens, Da Hool","6:44:30 PM","6:48:51 PM","00:04:21","1","","128","Am","2015-10-09","Future House","","MHATLP (HI-LO Edit)","MHATLP"
"Gas Pedal (MCB Ultimix Edit)","Sage The Gemini","6:47:38 PM","6:51:38 PM","00:04:00","2","","128","F#m","2015","Other","","Gas Pedal (MCB Ultimix Edit)",""
"Thuggish (Deekline Remix)","Bone Thugs & Harmony","6:49:00 PM","6:53:30 PM","00:04:30","1","","130","Am","2015-09-07","Breaks","","Thuggish (Deekline Remix)","Thuggish"
"Thot Shit (XMiX Remix) (No Hype Edit) (Dirty)","Megan Thee Stallion","6:51:38 PM","6:56:43 PM","00:05:05","2","","130","G#m","2021","Urban","","Thot Shit (XMiX Remix) (No Hype Edit) (Dirty)","XMiX Urban & Club Series 272 (Jun 2021 - Part 2)"
"Have Mercy (MCB X-Mix Urban Edit)","Chloe","6:53:30 PM","6:58:18 PM","00:04:48","1","","130","Dbm","2021","Blues","","Have Mercy (MCB X-Mix Urban Edit)",""
"My Boo (Ultimix Quick Edit 2)","Ghost Town DJs","6:56:43 PM","7:00:16 PM","00:03:33","2","","130","F#m","1996","Other","","My Boo (Ultimix Quick Edit 2)","Funkymix 208"
"The Business (Kue's Breaks Remix MCB Edit)","Tiesto (feat Ty Dolla $)","6:58:18 PM","7:02:17 PM","00:03:59","1","","130","G#m","2021","Other","","The Business (Kue's Breaks Remix MCB Edit)",""
"Antidote - DJ Astonish Bmore Remix (Clean)","Travis Scott","7:00:16 PM","7:04:17 PM","00:04:01","2","","130","6d","2015","","","Antidote - DJ Astonish Bmore Remix (Clean)",""
"I Want You","Pat Lok & Party Pupils","7:02:17 PM","7:07:16 PM","00:04:59","1","","128","Ebm","2021","House","","I Want You",""
"I Won't Give Up","Lost Girl","7:04:17 PM","7:09:10 PM","00:04:53","2","","128","Bbm","2020","House","","I Won't Give Up",""
"I Get Around - Hans Glader Remix (Intro - Dirty)","2Pac","7:07:43 PM","7:12:29 PM","00:04:46","1","","124","1m","2020","House","","I Get Around - Hans Glader Remix (Intro - Dirty)",""
"Gold Feat. Rhiannon Roze (Extended Mix)","Bleu Clair","7:09:49 PM","7:17:30 PM","00:07:41","2","","125","Em","2021","Bass House","","Gold Feat. Rhiannon Roze (Extended Mix)","Gold (feat. Rhiannon Roze)"
"How We Do (Tombz Remix)","Codes x Astronomar","7:12:53 PM","7:18:44 PM","00:05:51","1","","127","Bbm","2020-08-28","Bass House","","How We Do (Tombz Remix)","How We Do"
"Way 2 Sexy (Kue Remix) - Dirty","Drake (feat Future & Young Thug)","7:17:30 PM","7:21:15 PM","00:03:45","2","","127","Em","2021","Other","","Way 2 Sexy (Kue Remix) - Dirty",""
"Turn Back Time - Noizu Remix","Diplo & Sonny Fodera","7:19:35 PM","7:24:27 PM","00:04:52","1","","127","Fm","2021","House","","Turn Back Time - Noizu Remix",""
