"name","start time","end time","playtime","deck","notes","bpm","artist"
"4/15/22","4/15/22, 9:58:53 PM EDT","4/16/22, 1:38:37 AM EDT","03:39:44","","","",""
"I Kissed A Girl - Lincoln Baio I Wish Edit","9:58:53 PM EDT","10:04:14 PM EDT","00:05:21","1","","124","Katy Perry"
"Ain't It Fun - Riddler Remix","10:02:47 PM EDT","10:07:00 PM EDT","00:04:13","2","","125","Paramore"
"Love Myself (DJ Kue Remix)","10:04:14 PM EDT","10:09:14 PM EDT","00:05:00","1","","126","Hailee Steinfeld"
"Same Old Love (Skydreamer Remix)","10:07:00 PM EDT","10:12:56 PM EDT","00:05:56","2","","124","Selena Gomez"
"Where Has Your Trust Been (Zillionaire Mashup) Clean","10:09:14 PM EDT","10:15:44 PM EDT","00:06:30","1","","126","Rihanna vs Manyfew & Voost"
"Time Of Our Lives x Be Mine (Zillionaire Mashup) Dirty","10:12:56 PM EDT","10:18:55 PM EDT","00:05:59","2","","124","Pitbull ft Ne-YO vs Aexcit"
"What Do You Mean - Strobe Remix","10:16:45 PM EDT","10:20:10 PM EDT","00:03:25","1","","124","Justin Bieber"
"Don't Tell 'Em - Tall Boys 128-98 Transition (Dirty)","10:18:55 PM EDT","10:22:26 PM EDT","00:03:31","2","","128","Jeremih ft. YG"
"Don't Tell 'Em - Tall Boys 128-98 Transition (Dirty)","10:20:10 PM EDT","10:24:25 PM EDT","00:04:15","1","","128","Jeremih ft. YG"
"Come Get Her (Deville 100 BPM Club Rework) Dirty","10:22:26 PM EDT","10:25:07 PM EDT","00:02:41","2","","100","Rae Sremmurd"
"Up Down (Do This All Day) (Intro - Dirty)","10:24:31 PM EDT","10:26:14 PM EDT","00:01:43","1","","97","T-Pain ft. B.O.B."
"Nana (Intro - Dirty)","10:25:22 PM EDT","10:27:19 PM EDT","00:01:57","2","","97","Trey Songz"
"Partition - Noodles & Devastator Twerk Remix (Dirty)","10:26:14 PM EDT","10:29:24 PM EDT","00:03:10","1","","100","Beyonce"
"BO$$ (Intro - Dirty)","10:27:19 PM EDT","10:30:25 PM EDT","00:03:06","2","","103","Fifth Harmony"
"Worth It (Intro)","10:29:24 PM EDT","10:32:00 PM EDT","00:02:36","1","","100","Fifth Harmony ft. Kid Ink "
"Problem - ZIGGY Remix","10:30:25 PM EDT","10:34:51 PM EDT","00:04:26","2","","103","Ariana Grande ft. Iggy Azalea"
"Talk Dirty - Da Phonk & Rogerson Remix (Clean)","10:32:00 PM EDT","10:36:58 PM EDT","00:04:58","1","","100","Jason Derulo"
"Gas Pedal - Caked Up Twerk Remix (Dirty)","10:34:51 PM EDT","10:38:20 PM EDT","00:03:29","2","","100","Sage The Gemini"
"Flex - Lemi Vice & Action Jackson Remix (Dirty)","10:36:58 PM EDT","10:38:59 PM EDT","00:02:01","1","","96","Rich Homie Quan"
"679 (Remy Boyz) (Intro - Dirty)","10:38:20 PM EDT","10:41:07 PM EDT","00:02:47","2","","95","Fetty Wap ft. Montana Buckz"
"Freaky Friday (Intro - Dirty)","10:38:59 PM EDT","10:42:58 PM EDT","00:03:59","1","","100","Lil Dicky ft. Chris Brown"
"Lemon - Drake Remix (Intro - Dirty)","10:41:07 PM EDT","10:45:57 PM EDT","00:04:50","2","","95","N.E.R.D. ft. Rihanna & Drake"
"Chun-Li (Intro - Dirty)","10:45:00 PM EDT","10:47:19 PM EDT","00:02:19","1","","97","Nicki Minaj"
"OOOUUU (FWB Twerk Remix / Dirty)","10:45:57 PM EDT","10:49:22 PM EDT","00:03:25","2","","96","Young M.A"
"No Problem - Tall Boys 100-68 Transition (Dirty)","10:47:19 PM EDT","10:50:35 PM EDT","00:03:16","1","","100","Chance The Rapper ft. Lil Wayne & 2 Chainz"
"Bad & Boujee (Intro - Dirty)","10:49:22 PM EDT","10:51:48 PM EDT","00:02:26","2","","64","Migos & Lil Uzi Vert"
"Antidote - Kid Cut Up Club Edit (Intro - Dirty)","10:50:35 PM EDT","10:53:26 PM EDT","00:02:51","1","","66","Travis Scott"
"Broccoli (Riddler Extended Dirty)","10:51:48 PM EDT","10:54:58 PM EDT","00:03:10","2","","73","D.R.A.M. f./Lil Yachty"
"Fake Love - Lady S & Tim Hox Remix","10:53:26 PM EDT","10:56:14 PM EDT","00:02:48","1","","70","Drake"
"My Sh#t (Intro - Dirty)","10:55:20 PM EDT","10:57:27 PM EDT","00:02:07","2","","78","A Boogie Wit Da Hoodie"
"iSpy (Intro - Dirty)","10:56:34 PM EDT","10:59:18 PM EDT","00:02:44","1","","75","Kyle ft. Lil Yachty"
"Trap Queen (Intro - Dirty)","10:57:27 PM EDT","11:01:02 PM EDT","00:03:35","2","","74","Fetty Wap"
"Rake It Up Trans","10:59:18 PM EDT","","","1","","75",""
"Loco Contigo - Da Phonk Club Edit (Dirty)","11:03:16 PM EDT","11:04:57 PM EDT","00:01:41","1","","104","DJ Snake & J Balvin ft. Tyga"
"Baila Baila Baila (Intro)","11:04:02 PM EDT","11:05:48 PM EDT","00:01:46","2","","100","Ozuna"
"Que Calor - KidCutUp 100-126 Transition (Intro)","11:04:57 PM EDT","11:06:35 PM EDT","00:01:38","1","","100","Major Lazer"
"Mi Gente - Cedric Gervais Remix","11:05:48 PM EDT","11:08:11 PM EDT","00:02:23","2","","128","J Balvin & Willy William"
"Danza Kuduro - Kevin D & Sven & Rolf Remix","11:06:35 PM EDT","11:09:28 PM EDT","00:02:53","1","","130","Don Omar ft. Lucenzo"
"Hey Baby (Drop It To The Floor) (Intro - Clean)","11:08:43 PM EDT","11:11:05 PM EDT","00:02:22","2","","128","Pitbull ft T-Pain"
"Where Them Girls At (Dirty / Intro)","11:09:52 PM EDT","11:13:05 PM EDT","00:03:13","1","","130","David Guetta ft Flo Rida & Nicki Minaj"
"Sexy Bitch - Freejak Remix (DJcity Intro - Dirty)","11:11:05 PM EDT","11:15:10 PM EDT","00:04:05","2","","128","David Guetta ft. Akon"
"Teenage Dream (Sam Herring Remix) Clean","11:13:05 PM EDT","11:16:08 PM EDT","00:03:03","1","","125","Katy Perry"
"Party In The U.S.A. - Wideboys Remix (Clean)","11:15:34 PM EDT","11:18:03 PM EDT","00:02:29","2","","125","Miley Cyrus"
"You Belong With Me (Teddy Cream x Fresh Kiwi Bootleg)","11:16:08 PM EDT","11:19:21 PM EDT","00:03:13","1","","128","Taylor Swift"
"Breaking Free (Jesse Bloch & Jesse James Remix) - Cm - 128","11:18:03 PM EDT","11:22:10 PM EDT","00:04:07","2","","128","High School Musical"
"Mr. Brightside - Chunky Dip Remix","11:19:21 PM EDT","11:24:00 PM EDT","00:04:39","1","","130","The Killers"
"In The End - SAWO Remix","11:22:43 PM EDT","11:27:19 PM EDT","00:04:36","2","","126","Linkin Park"
"Without Me - Dunisco Remix (Intro - Clean)","11:26:03 PM EDT","11:29:08 PM EDT","00:03:05","1","","126","Eminem"
"Birthday Noise In Da Club - DJ Aristocat 125-91 Transition (Clean)","11:27:19 PM EDT","11:30:48 PM EDT","00:03:29","2","","125","50 Cent"
"Tipsy (8b Intro-Clean)","11:29:08 PM EDT","11:31:32 PM EDT","00:02:24","1","","93","J-Kwon"
"Right Thurr (8b Intro-Clean)","11:30:54 PM EDT","11:32:18 PM EDT","00:01:24","2","","92","Chingy"
"Chain Hang Low - Lemi Vice & Action Jackson Remix (Clean)","11:31:32 PM EDT","11:33:19 PM EDT","00:01:47","1","","95","Jibbs"
"Ayy Ladies (Intro - Dirty)","11:32:18 PM EDT","11:34:29 PM EDT","00:02:11","2","","96","Travis Porter ft Tyga"
"Bring It Back (Intro - Dirty)","11:33:19 PM EDT","11:35:14 PM EDT","00:01:55","1","","98","Travis Porter ft FKi"
"You're A Jerk (Intro - Clean)","11:34:29 PM EDT","11:37:04 PM EDT","00:02:35","2","","99","New Boyz"
"IDFWU (Deville Twerk Refresh) Dirty","11:35:14 PM EDT","11:38:39 PM EDT","00:03:25","1","","100","Big Sean, DJ Chose"
"In My Feelings (Scooter Twerk Remix / Dirty) ","11:37:04 PM EDT","11:40:24 PM EDT","00:03:20","2","","91","Drake"
"Twerk Remix (Intro - Dirty)","11:38:39 PM EDT","11:41:24 PM EDT","00:02:45","1","","95","City Girls ft. Cardi B"
"My Type - Dillon Francis Remix (Intro - Dirty)","11:40:24 PM EDT","11:43:00 PM EDT","00:02:36","2","","105","Saweetie"
"Gyal You A Party Animal - BrainDeaD Remix","11:41:24 PM EDT","11:44:21 PM EDT","00:02:57","1","","103","Charly Black"
"Whine","11:43:05 PM EDT","11:44:56 PM EDT","00:01:51","2","","101","Mozez & Kid Cobra"
"Like Glue - Richastic Remix (Intro)","11:44:21 PM EDT","11:46:08 PM EDT","00:01:47","1","","104","Sean Paul"
"It Wasn't Me - Delirious & Alex K Puro Pari Remix","11:44:56 PM EDT","11:47:15 PM EDT","00:02:19","2","","100","Shaggy"
"Bananza (Belly Dancer) - Richastic Remix","11:46:08 PM EDT","11:48:12 PM EDT","00:02:04","1","","105","Akon"
"Yeah - Lincoln Baio & NAWMS Remix","11:47:15 PM EDT","11:50:46 PM EDT","00:03:31","2","","109","Usher ft. Lil Jon & Ludacris"
"Party Up","11:48:12 PM EDT","11:51:36 PM EDT","00:03:24","1","","101","DMX"
"Get Low Dirty ","11:50:46 PM EDT","11:53:10 PM EDT","00:02:24","2","","101","Lil Jon & The East Side Boyz"
"Ms. New Booty (Intro - Dirty)","11:51:36 PM EDT","11:54:21 PM EDT","00:02:45","1","","97","Bubba Sparxxx ft Ying Yang Twins"
"Crazy In Love (Rivas 100-125 Trans) Clean","11:53:10 PM EDT","11:57:07 PM EDT","00:03:57","2","","100","Beyonce vs Clavette & Racket"
"We Found Love","11:54:21 PM EDT","11:59:04 PM EDT","00:04:43","1","","128","Rihanna ft Calvin Harris"
"Levels - Sir Gio Remix","11:57:07 PM EDT","12:00:57 AM EDT","00:03:50","2","","126","Avicii"
"Clarity - Rogerson Remix","11:59:04 PM EDT","12:02:12 AM EDT","00:03:08","1","","126","Zedd ft. Foxes"
"Firework - Stavros Martina & Kevin D Remix","12:00:57 AM EDT","12:03:27 AM EDT","00:02:30","2","","124","Katy Perry"
"Starships (PeteDown 2021 Hybrid Edit) (Intro - Dirty)","12:02:12 AM EDT","12:06:10 AM EDT","00:03:58","1","","125","Nicki Minaj vs Chick Flix"
"Low - Kruzo Remix","12:03:27 AM EDT","12:06:49 AM EDT","00:03:22","2","","128","Flo Rida ft. T-Pain"
"Yeah 3X (Versatile Remix) (Jay Spring Edit)","12:06:10 AM EDT","12:08:34 AM EDT","00:02:24","1","","130","Chris Brown"
"NO HANDS [TRANSITION 128-66 BPM] - DIRTY","12:07:10 AM EDT","12:09:46 AM EDT","00:02:36","2","","128","Waka Flocka Flame ft Roscoe Dash & Wale/DJ DEVILLE"
"Mercy - DJ Primetyme No Kanye Version (Dirty)","12:08:34 AM EDT","12:11:05 AM EDT","00:02:31","1","","70","Big Sean, Pusha T, 2 Chainz & Kanye West"
"Birthday Song (Dirty) (Jay Spring Short Clap Out Edit)","12:09:46 AM EDT","12:12:26 AM EDT","00:02:40","2","","70","2 Chainz"
"Up All Night (DIRTY-SSM DJ Friendly Edit)","12:11:05 AM EDT","12:13:09 AM EDT","00:02:04","1","","62","Drake ft Nicki Minaj"
"Turn My Swag On (Intro - Clean)","12:12:26 AM EDT","12:13:38 AM EDT","00:01:12","2","","75","Soulja Boy"
"All I Do Is Win (Intro - Dirty)","12:13:09 AM EDT","12:14:15 AM EDT","00:01:06","1","","75","DJ Khaled ft T-Pain, Ludacris, Rick Ross, & Snoop Dogg"
"Dadadada (Konundrum Remix 75-112) Dirty","12:13:38 AM EDT","12:14:59 AM EDT","00:01:21","2","","75","Wuki, Chris Brown, Busta Rhymes"
"Hollaback Girl - Mr. M!X Remix (Dirty)","12:14:15 AM EDT","12:15:46 AM EDT","00:01:31","1","","110","Gwen Stefani"
"Single Ladies - Stavros Martina & Kevin D Remix (Dirty)","12:14:59 AM EDT","12:16:28 AM EDT","00:01:29","2","","101","Beyonce"
"Hot In Herre - Delirious & Alex K Puro Pari Remix","12:15:46 AM EDT","12:17:47 AM EDT","00:02:01","1","","108","Nelly"
"Daddy Yankee Gasolina Tuner Remix Intro Edit","12:16:28 AM EDT","12:18:13 AM EDT","00:01:45","2","","100",""
"Dale Don Dale (Mozes Twerk Remix) (Jay Spring Short Edit)","12:17:47 AM EDT","12:18:58 AM EDT","00:01:11","1","","100","Don Omar Ft. Fabolous"
"Ginza - El Dusty Remix","12:18:13 AM EDT","12:20:06 AM EDT","00:01:53","2","","103","J Balvin"
"Despacito Remix - DJ Smerk Club Edit","12:18:58 AM EDT","12:22:01 AM EDT","00:03:03","1","","100","Luis Fonsi & Daddy Yankee ft. Justin Bieber"
"Callaita (Frequency X Redrum) Dirty","12:20:06 AM EDT","12:22:38 AM EDT","00:02:32","2","","97","Bad Bunny & Tainy"
"Safaera - BROSS Club Edit (Dirty)","12:22:01 AM EDT","12:24:09 AM EDT","00:02:08","1","","96","Bad Bunny, Jowell & Randy & Ñengo Flow"
"Yo Perreo Sola - BROSS Club Edit (Dirty)","12:22:38 AM EDT","12:25:08 AM EDT","00:02:30","2","","97","Bad Bunny"
"La Mamá de la Mamá - DJ Santarosa 100-130 Transition (Dirty)","12:24:09 AM EDT","12:26:26 AM EDT","00:02:17","1","","130","El Alfa, CJ & Chael Produciendo ft. El Cherry Scom"
"Pepas (Gabe Pereira Remix) Dirty","12:25:08 AM EDT","12:28:46 AM EDT","00:03:38","2","","128","Farruko"
"Stay (Jordan Magro Remix) Ext Dirty","12:26:26 AM EDT","12:31:35 AM EDT","00:05:09","1","","130","The Kid LAROI, Justin Bieber"
"Industry Baby (Sterbinszky x MYNEA Remix) (Dirty)","12:28:46 AM EDT","12:34:40 AM EDT","00:05:54","2","","128","Lil Nas X, Jack Harlow"
"Way 2 Sexy - Valentino Khan Remix (Dirty)","12:31:35 AM EDT","12:36:53 AM EDT","00:05:18","1","","126","Drake ft. Future & Young Thug"
"Super Gremlin - Sparkbox Remix (Dirty)","12:34:40 AM EDT","12:40:45 AM EDT","00:06:05","2","","126","Kodak Black"
