"name","start time","end time","playtime","deck","notes","bpm","artist"
"First Class - Satoru 131-107 Transition (Dirty)","12:36:53 AM EDT","12:42:34 AM EDT","00:05:41","1","","131","Jack Harlow"
"Peru Remix (DJcity Intro - Dirty)","12:40:45 AM EDT","12:43:27 AM EDT","00:02:42","2","","108","Fireboy DML & Ed Sheeran"
"Woman (PeteDown Flavor Mix) Dirty","12:42:34 AM EDT","12:44:54 AM EDT","00:02:20","1","","108","Doja Cat "
"Big Energy (PO Intro Edit)","12:43:27 AM EDT","12:47:41 AM EDT","00:04:14","2","","106","Latto"
"Blick Blick - Tall Boys 100-70 Transition (Dirty)","12:46:26 AM EDT","12:50:04 AM EDT","00:03:38","1","","100","Coi Leray & Nicki Minaj"
"Knife Talk - MarkCutz Club Edit (Dirty)","12:47:41 AM EDT","","","2","","75","Drake ft. 21 Savage & Project Pat"
"TO THE MOON (DJcity Intro - Dirty)","12:51:56 AM EDT","12:55:23 AM EDT","00:03:27","2","","72","Jnr Choi"
"Goosebumps (PeteDown Transition) 75-125 (Dirty)","12:52:56 AM EDT","12:56:19 AM EDT","00:03:23","1","","125","HVME x Travis Scott "
"Astronaut In The Ocean (Joe Maz Remix / Clean)","12:55:23 AM EDT","12:58:58 AM EDT","00:03:35","2","","126","Masked Wolf"
"Friday (Dopamine Re-Edit - Extended)","12:57:41 AM EDT","1:00:07 AM EDT","00:02:26","1","","123","Riton x Nightcrawlers f./Mufasa & Hypeman"
"Hotel Room (Chorus Only Quick Hitter) (Diggz' Edit)","12:58:58 AM EDT","1:01:59 AM EDT","00:03:01","2","","126","Pitbull"
"Who Dat Girl (8Bar Remix)","1:00:07 AM EDT","1:02:57 AM EDT","00:02:50","1","","125","Flo Rida f./Akon"
"Super Bass - James Godfrey & Zillionaire Remix (Clean)","1:01:59 AM EDT","1:04:08 AM EDT","00:02:09","2","","126","Nicki Minaj"
"California Gurls - Colin Jay Run Edit (Intro - Dirty)","1:02:57 AM EDT","1:06:24 AM EDT","00:03:27","1","","124","Katy Perry ft. Snoop Dogg"
"SAY AAH (((DEVILLE TRANSITION 130-93 BPM))) [Full Song Edit]","1:04:28 AM EDT","1:06:59 AM EDT","00:02:31","2","","130","Trey Songz/DJ DEVILLE"
"2 Reasons (Intro - Dirty)","1:06:24 AM EDT","1:07:42 AM EDT","00:01:18","1","","94","Trey Songz ft T.I."
"Ball (Intro - Dirty)","1:06:59 AM EDT","1:08:32 AM EDT","00:01:33","2","","95","T.I. ft Lil Wayne"
"I'm So Paid (Intro - Dirty)","1:08:02 AM EDT","1:10:13 AM EDT","00:02:11","1","","92","Akon ft Lil Wayne"
"Magic In The Hamptons (Intro)","1:08:32 AM EDT","1:11:19 AM EDT","00:02:47","2","","96","Social House ft. Lil Yachty"
"Drums, Wild & Free (Danny Diggz Hooks Only Party Break) (Dirty)","1:10:13 AM EDT","1:12:21 AM EDT","00:02:08","1","","95","Wiz Khalifa & Snoop Dogg"
"Crazy Rap (Colt 45 & 2 Zig Zags) (Dirty / Short Edit)","1:11:19 AM EDT","1:14:31 AM EDT","00:03:12","2","","99","Afroman"
"Superstar (Intro - Clean)","1:12:21 AM EDT","1:16:13 AM EDT","00:03:52","1","","95","Lupe Fiasco"
"Moment 4 Life (Intro - Dirty)","1:15:04 AM EDT","1:19:21 AM EDT","00:04:17","2","","98","Nicki Minaj ft Drake"
"Take You There (Intro - Clean)","1:17:32 AM EDT","1:22:13 AM EDT","00:04:41","1","","115","Sean Kingston ft Paula DeAnda"
"Love Lockdown - Dor Halevi & MRGN MAAR Remix","1:20:16 AM EDT","1:25:13 AM EDT","00:04:57","2","","126","Kanye West"
"Day 'N' Nite - Swartchback Remix","1:22:13 AM EDT","1:27:15 AM EDT","00:05:02","1","","126","Kid Cudi"
"Doses & Mimosas (Tiesto Remix) Ext Dirty","1:25:13 AM EDT","1:30:47 AM EDT","00:05:34","2","","123","Cherub"
"Summer (Intro)","1:27:15 AM EDT","1:34:00 AM EDT","00:06:45","1","","128","Calvin Harris"
"Mr. Brightside (Original Mix) Clean","1:32:28 AM EDT","1:38:37 AM EDT","00:06:09","2","","126","Don Diablo"
"Promiscuous (DJ Nasa Afrobeat Remix) Intro - Clean","1:35:05 AM EDT","1:38:37 AM EDT","00:03:32","1","","127","Nelly Furtado ft Timbaland "
