"name","start time","end time","playtime","deck","notes","bpm","artist"
"Like A G6 (Intro)","11:08:58 PM EDT","11:10:53 PM EDT","00:01:55","1","","125","FM ft Cataracs & Dev"
"Shots - NASA Put Your Hands Up Intro (Dirty)","11:09:47 PM EDT","11:12:43 PM EDT","00:02:56","2","","128","LMFAO ft Lil Jon"
"Pursuit Of Happiness - Steve Aoki Dance Remix (Intro - Dirty)","11:10:53 PM EDT","11:14:37 PM EDT","00:03:44","1","","128","Kid Cudi"
"All Night Longer (Intro - Dirty)","11:12:43 PM EDT","11:15:53 PM EDT","00:03:10","2","","127","Sammy Adams"
"Play Hard (Spender & Hill Remix) (Jay Spring Short Edit","11:14:37 PM EDT","11:17:37 PM EDT","00:03:00","1","","130","David Guetta Ft. Ne-Yo & Akon"
"Swing [DiscoTech Dirty Tran] [130-75 BPM]","11:15:53 PM EDT","11:18:30 PM EDT","00:02:37","2","","75","Savage"
"Crank That Trap To Twerk Trans","11:17:37 PM EDT","11:19:22 PM EDT","00:01:45","1","","105",""
"Rompe - Kevin D Remix","11:18:30 PM EDT","11:19:55 PM EDT","00:01:25","2","","101","Daddy Yankee"
"Dale Don Dale (Mozes Twerk Remix) (Jay Spring Short Edit)","11:19:22 PM EDT","11:20:49 PM EDT","00:01:27","1","","100","Don Omar Ft. Fabolous"
"Ginza - El Dusty Remix","11:19:55 PM EDT","11:21:07 PM EDT","00:01:12","2","","103","J Balvin"
"Quiere Beber Remix - DJ Santarosa Re-Drum","11:20:49 PM EDT","11:22:35 PM EDT","00:01:46","1","","98","Anuel AA ft. Romeo Santos"
"Despacito Remix - DJ Smerk Club Edit","11:21:07 PM EDT","11:24:09 PM EDT","00:03:02","2","","100","Luis Fonsi & Daddy Yankee ft. Justin Bieber"
"Baila Baila Baila (Intro)","11:22:35 PM EDT","11:24:46 PM EDT","00:02:11","1","","100","Ozuna"
"Que Calor - KidCutUp 100-126 Transition (Intro)","11:24:09 PM EDT","11:25:21 PM EDT","00:01:12","2","","100","Major Lazer"
"Mi Gente - Cedric Gervais Remix","11:24:46 PM EDT","11:26:52 PM EDT","00:02:06","1","","128","J Balvin & Willy William"
"Danza Kuduro - Kevin D & Sven & Rolf Remix","11:25:21 PM EDT","11:28:36 PM EDT","00:03:15","2","","130","Don Omar ft. Lucenzo"
"Low - Kruzo Remix","11:26:52 PM EDT","11:30:14 PM EDT","00:03:22","1","","128","Flo Rida ft. T-Pain"
"Starships (PeteDown 2021 Hybrid Edit) (Intro - Dirty)","11:28:36 PM EDT","11:32:32 PM EDT","00:03:56","2","","125","Nicki Minaj vs Chick Flix"
"Firework - Stavros Martina & Kevin D Remix","11:30:14 PM EDT","11:34:04 PM EDT","00:03:50","1","","124","Katy Perry"
"Hello - LaughTrax Remix","11:32:32 PM EDT","","","2","","126","Martin Solveig"
"Without Me - Dunisco Remix (Intro - Clean)","11:34:49 PM EDT","11:37:38 PM EDT","00:02:49","2","","126","Eminem"
"All the small things (Chuck & Norris Remix)","11:36:23 PM EDT","11:38:52 PM EDT","00:02:29","1","","130","Blink 182"
"Mr. Brightside - Chunky Dip Remix","11:37:38 PM EDT","11:41:03 PM EDT","00:03:25","2","","130","The Killers"
"Seven Nation Army - Joe Maz Remix","11:38:52 PM EDT","11:41:57 PM EDT","00:03:05","1","","126","The White Stripes"
"Wiz Hold Up Shelco To Og Trans","11:41:03 PM EDT","11:42:31 PM EDT","00:01:28","2","","130",""
"Grove St. Party (Hooks Only / Dirty / Super Short Edit) - 7A","11:42:02 PM EDT","11:43:42 PM EDT","00:01:40","1","","70","Waka Flocka Flame"
"Niggas In Paris (Intro - Dirty)","11:42:31 PM EDT","11:44:59 PM EDT","00:02:28","2","","70","Kanye West & Jay-Z"
"Birthday Song (Dirty) (Jay Spring Short Clap Out Edit)","11:43:42 PM EDT","11:45:58 PM EDT","00:02:16","1","","70","2 Chainz"
"Up All Night (DIRTY-SSM DJ Friendly Edit)","11:44:59 PM EDT","11:47:04 PM EDT","00:02:05","2","","62","Drake ft Nicki Minaj"
"Turn My Swag On (Intro - Clean)","11:45:58 PM EDT","11:47:32 PM EDT","00:01:34","1","","75","Soulja Boy"
"Dadadada (Konundrum Remix 75-112) Dirty","11:47:04 PM EDT","11:48:16 PM EDT","00:01:12","2","","75","Wuki, Chris Brown, Busta Rhymes"
"Pon De Floor (Frequency X Remix) Clean","11:47:32 PM EDT","11:48:57 PM EDT","00:01:25","1","","108","Major Lazer ft. Vybz Kartel"
"Bumaye (Jay Spring Dubplate)","11:48:16 PM EDT","11:50:34 PM EDT","00:02:18","2","","108","Major Lazer Ft. Busy Signal"
"Gyal You A Party Animal - BrainDeaD Remix","11:49:19 PM EDT","11:51:47 PM EDT","00:02:28","1","","103","Charly Black"
"Whine","11:50:38 PM EDT","11:52:24 PM EDT","00:01:46","2","","101","Mozez & Kid Cobra"
"Like Glue - Richastic Remix (Intro)","11:51:47 PM EDT","11:54:34 PM EDT","00:02:47","1","","104","Sean Paul"
"It Wasn't Me - Delirious & Alex K Puro Pari Remix","11:52:28 PM EDT","11:55:47 PM EDT","00:03:19","2","","100","Shaggy"
"Bananza (Belly Dancer) - Richastic Remix","11:54:34 PM EDT","11:56:43 PM EDT","00:02:09","1","","105","Akon"
"Hot In Herre - Delirious & Alex K Puro Pari Remix","11:55:47 PM EDT","11:57:42 PM EDT","00:01:55","2","","108","Nelly"
"Rack City - Richastic & AT-80 Remix (Intro - Dirty)","11:56:43 PM EDT","11:59:12 PM EDT","00:02:29","1","","99","Tyga"
"Headband - DJ Serg Sniper Remix (Dirty)","11:57:42 PM EDT","12:01:56 AM EDT","00:04:14","2","","102","B.O.B. ft. 2 Chainz"
"Birthday Cake - Richastic Remix (DJcity Intro - Dirty)","11:59:12 PM EDT","12:03:13 AM EDT","00:04:01","1","","98","Rihanna ft. Chris Brown"
"Freaks (Intro - Dirty)","12:02:18 AM EDT","12:04:58 AM EDT","00:02:40","2","","97","French Montana ft Nicki Minaj"
"Ms. New Booty (Intro - Dirty)","12:03:34 AM EDT","12:06:13 AM EDT","00:02:39","1","","97","Bubba Sparxxx ft Ying Yang Twins"
"Crazy In Love (Rivas 100-125 Trans) Clean","12:04:58 AM EDT","12:09:50 AM EDT","00:04:52","2","","100","Beyonce vs Clavette & Racket"
"We Found Love","12:06:13 AM EDT","12:10:59 AM EDT","00:04:46","1","","128","Rihanna ft Calvin Harris"
"Clarity - Rogerson Remix","12:09:50 AM EDT","12:12:11 AM EDT","00:02:21","2","","126","Zedd ft. Foxes"
"Levels - Sir Gio Remix","12:10:59 AM EDT","12:13:57 AM EDT","00:02:58","1","","126","Avicii"
"If I Lose Myself (Alesso vs OneRepublic) Clean","12:12:11 AM EDT","12:17:20 AM EDT","00:05:09","2","","126","OneRepublic"
"Memories - Rogerson Remix (Dirty)","12:13:57 AM EDT","12:20:14 AM EDT","00:06:17","1","","130","David Guetta ft. Kid Cudi"
"NO HANDS [TRANSITION 128-66 BPM] - DIRTY","12:17:20 AM EDT","12:20:53 AM EDT","00:03:33","2","","128","Waka Flocka Flame ft Roscoe Dash & Wale/DJ DEVILLE"
"No Lie (Diggz Hook Only Break Edit) (Dirty) (65.5 BPM) - 11A","12:20:14 AM EDT","12:22:08 AM EDT","00:01:54","1","","66","Drake"
"Mercy - DJ Primetyme No Kanye Version (Dirty)","12:20:53 AM EDT","12:22:57 AM EDT","00:02:04","2","","70","Big Sean, Pusha T, 2 Chainz & Kanye West"
"I Can't Stop - Benzi & DJA Edit (Dirty)","12:22:08 AM EDT","12:23:37 AM EDT","00:01:29","1","","70","Flux Pavilion ft Jay-Z & Kanye West"
"Can't Hold Us - Kevin D Remix","12:22:57 AM EDT","12:24:44 AM EDT","00:01:47","2","","150","Macklemore & Ryan Lewis ft. Ray Dalton"
"All I Do Is Win (Jay Spring OG To Made Monster Remix Edit) (75-85 BPM Transition) (Dirty)","12:23:37 AM EDT","12:26:46 AM EDT","00:03:09","1","","85","DJ Khaled"
"Good Life - Reed Streets Remix (Dirty)","12:24:44 AM EDT","12:27:58 AM EDT","00:03:14","2","","92","Kanye West ft. T-Pain"
"Daddy Yankee Gasolina Tuner Remix Intro Edit","12:26:46 AM EDT","12:28:35 AM EDT","00:01:49","1","","100",""
"Ay Chico (Lengua Afuera) - Richastic Remix","12:27:58 AM EDT","12:29:34 AM EDT","00:01:36","2","","105","Pitbull"
"RITMO (Bad Boys for Life) (Intro - Dirty)","12:28:35 AM EDT","12:30:25 AM EDT","00:01:50","1","","105","The Black Eyed Peas & J Balvin"
"Tusa - DJ Fiuger Remix (Dirty)","12:29:34 AM EDT","12:31:43 AM EDT","00:02:09","2","","105","Karol G & Nicky Minaj"
"Callaita (Frequency X Redrum) Dirty","12:30:25 AM EDT","12:32:20 AM EDT","00:01:55","1","","97","Bad Bunny & Tainy"
"Safaera - BROSS Club Edit (Dirty)","12:31:43 AM EDT","12:32:51 AM EDT","00:01:08","2","","96","Bad Bunny, Jowell & Randy & Ñengo Flow"
"Yo Perreo Sola - BROSS Club Edit (Dirty)","12:32:20 AM EDT","12:35:25 AM EDT","00:03:05","1","","97","Bad Bunny"
"Taki Taki (Intro - Dirty)","12:32:51 AM EDT","12:36:54 AM EDT","00:04:03","2","","96","DJ Snake ft. Selena Gomez, Cardi B, & Ozuna"
"Twerk Remix - Tall Boys Cardi B First Edit (Dirty)","12:35:25 AM EDT","12:37:58 AM EDT","00:02:33","1","","95","City Girls ft. Cardi B"
"In My Feelings (Scooter Twerk Remix / Dirty) ","12:36:54 AM EDT","12:39:31 AM EDT","00:02:37","2","","91","Drake"
"Ayy Ladies (Intro - Dirty)","12:37:58 AM EDT","12:40:48 AM EDT","00:02:50","1","","96","Travis Porter ft Tyga"
"Bring It Back (Intro - Dirty)","12:39:31 AM EDT","12:41:25 AM EDT","00:01:54","2","","98","Travis Porter ft FKi"
"You're A Jerk (Intro - Clean)","12:40:48 AM EDT","12:42:55 AM EDT","00:02:07","1","","99","New Boyz"
"IDFWU (Deville Twerk Refresh) Dirty","12:41:25 AM EDT","12:44:42 AM EDT","00:03:17","2","","100","Big Sean, DJ Chose"
"Turn Down For What","12:43:24 AM EDT","12:45:55 AM EDT","00:02:31","1","","100","DJ Snake & Lil Jon"
"Be Faithful (Mister Black Remix To Hot Damage Twerk Remix) (Jay Spring Edit)","12:44:42 AM EDT","12:47:38 AM EDT","00:02:56","2","","104","Crooklyn Clan Ft. Fatman Scoop"
"Party Up (DJ SCOOTER TWERK REMIX) Dirty","12:45:55 AM EDT","12:49:17 AM EDT","00:03:22","1","","101","DMX,Swizz Beatz,DJ SCOOTER"
"Lil Jon Tyga Ben Ova To Kronic Remix Trans 103 128","12:47:38 AM EDT","12:50:50 AM EDT","00:03:12","2","","103",""
"READY! (Jay Spring Flat Intro Edit)","12:49:17 AM EDT","12:51:56 AM EDT","00:02:39","1","","128","Deorro & MAKJ"
"Tremor (Sensation 2014 Anthem) (Short Edit)","12:50:50 AM EDT","12:53:00 AM EDT","00:02:10","2","","128","Dimitri Vegas, Martin Garrix, & Like Mike"
"That Hum Short Edit","12:51:56 AM EDT","12:54:07 AM EDT","00:02:11","1","","130",""
"Kernkraft 400 - Vavo 2016 Bootleg","12:53:00 AM EDT","12:55:29 AM EDT","00:02:29","2","","128","Zombie Nation"
"In The End - SAWO Remix","12:54:07 AM EDT","12:58:14 AM EDT","00:04:07","1","","126","Linkin Park"
"Dirty Little Secret (@DJSkillzMusic OG Vocal Edit)","12:55:29 AM EDT","12:59:58 AM EDT","00:04:29","2","","128","Vinny Vibe x Lodato x All American Rejects"
"Birthday Noise In Da Club - DJ Aristocat 125-91 Transition (Clean)","12:58:14 AM EDT","1:01:32 AM EDT","00:03:18","1","","125","50 Cent"
"Tipsy (8b Intro-Clean)","12:59:58 AM EDT","1:02:27 AM EDT","00:02:29","2","","93","J-Kwon"
"Drop It Like Its Hot (Intro - Dirty)","1:01:32 AM EDT","1:02:47 AM EDT","00:01:15","1","","92","Snoop Dogg ft Pharrell"
"Ice Cream Paint Job (Intro - Dirty)","1:02:27 AM EDT","1:03:30 AM EDT","00:01:03","2","","90","Dorrough"
"Chain Hang Low - Lemi Vice & Action Jackson Remix (Clean)","1:02:47 AM EDT","1:04:21 AM EDT","00:01:34","1","","95","Jibbs"
"Bubble Butt - DJ Deville Twerk Remix","1:03:30 AM EDT","1:05:13 AM EDT","00:01:43","2","","100","Major Lazer ft. Lil Jon, 2 Chainz, Bruno Mars, Tyga, & Mystic"
"Body (Deville & Kneix Twerk Remix) Dirty","1:04:21 AM EDT","1:05:55 AM EDT","00:01:34","1","","100","Megan Thee Stallion"
"Get Into It (Yuh) (Deville Twerk Mix) Dirty","1:05:13 AM EDT","1:06:49 AM EDT","00:01:36","2","","100","Doja Cat"
"Up (DJ Nasa Twerk Rework) Intro - Dirty","1:05:55 AM EDT","1:08:07 AM EDT","00:02:12","1","","92","Cardi B "
"Poke It Out (DJcity Intro - Dirty)","1:06:49 AM EDT","1:08:48 AM EDT","00:01:59","2","","99","Wale ft. J. Cole"
"Girls Want Girls - MytyMyke & Fresco Remix (Dirty)","1:08:07 AM EDT","1:10:13 AM EDT","00:02:06","1","","95","Drake"
"Chosen - esentrik Star Edit (Dirty)","1:08:48 AM EDT","1:10:54 AM EDT","00:02:06","2","","100","Blxst & Tyga ft. Ty Dolla $ign"
"Love Nwantiti (Frequency X Club Edit) Clean","1:10:13 AM EDT","1:12:28 AM EDT","00:02:15","1","","100","CKay"
"Peru Remix (DJcity Intro - Dirty)","1:10:54 AM EDT","1:14:12 AM EDT","00:03:18","2","","108","Fireboy DML & Ed Sheeran"
"Woman (PeteDown Flavor Mix) Dirty","1:12:28 AM EDT","1:15:36 AM EDT","00:03:08","1","","108","Doja Cat "
"Big Energy (PO Intro Edit)","1:14:12 AM EDT","1:18:04 AM EDT","00:03:52","2","","106","Latto"
"First Class (DJcity Intro - Dirty)","1:16:33 AM EDT","1:21:19 AM EDT","00:04:46","1","","107","Jack Harlow"
"Super Gremlin - Sparkbox Remix (Dirty)","1:18:12 AM EDT","1:24:22 AM EDT","00:06:10","2","","126","Kodak Black"
"Way 2 Sexy - Valentino Khan Remix (Dirty)","1:21:19 AM EDT","1:26:38 AM EDT","00:05:19","1","","126","Drake ft. Future & Young Thug"
"Do It To It (Joe Maz Remix)","1:24:22 AM EDT","1:28:05 AM EDT","00:03:43","2","","125","ACRAZE f./ Cherish"
"abcdefu - Sak Noel Remix (Dirty)","1:26:38 AM EDT","1:29:58 AM EDT","00:03:20","1","","128","GAYLE"
"EL MAKINON - J Rythm Remix (Dirty)","1:28:05 AM EDT","1:31:21 AM EDT","00:03:16","2","","126","KAROL G & Mariah Angeliq"
"Dakiti - Breakfast N Vegas & FlipOne Remix (Dirty)","1:29:58 AM EDT","1:32:23 AM EDT","00:02:25","1","","125","Bad Bunny & Jhay Cortez"
"Pepas (DJ Nasa VIP Edit) Epic Intro - Dirty","1:31:21 AM EDT","1:34:12 AM EDT","00:02:51","2","","130","Farruko"
"Suavemente - CATFISH Remix","1:32:29 AM EDT","1:35:41 AM EDT","00:03:12","1","","125","Elvis Crespo"
"Gimme! Gimme! Gimme! (A Man After Midnight) - HAWK Remix","1:34:17 AM EDT","1:37:03 AM EDT","00:02:46","2","","126","ABBA"
"ILY Arty Remix Intro","1:35:41 AM EDT","1:38:12 AM EDT","00:02:31","1","","125",""
"Only Girl (In The World) - Davey B Hook First Intro","1:37:03 AM EDT","1:38:51 AM EDT","00:01:48","2","","126","Rihanna"
"Super Bass - James Godfrey & Zillionaire Remix (Clean)","1:38:12 AM EDT","1:39:50 AM EDT","00:01:38","1","","126","Nicki Minaj"
"Club Cant Handle Me (PeteDown 2021 Remix / Clap Intro)","1:39:19 AM EDT","1:41:17 AM EDT","00:01:58","2","","128","FloRida feat David Guetta  "
"Hey Baby (Drop It To The Floor) (Intro - Clean)","1:39:50 AM EDT","1:42:19 AM EDT","00:02:29","1","","128","Pitbull ft T-Pain"
"Baby - Koji One Edit","1:41:17 AM EDT","1:44:35 AM EDT","00:03:18","2","","130","Justin Bieber ft Ludacris"
"Love Story (Disco Lane Remix) Clean","1:42:19 AM EDT","1:46:21 AM EDT","00:04:02","1","","128","Taylor Swift"
"California Gurls - Colin Jay Run Edit (Intro - Dirty)","1:44:35 AM EDT","1:48:55 AM EDT","00:04:20","2","","124","Katy Perry ft. Snoop Dogg"
"Down (Intro - Clean)","1:46:21 AM EDT","1:48:55 AM EDT","00:02:34","1","","132","Jay Sean ft Lil Wayne"
