"name","artist","start time","end time","playtime","deck","","bpm","key","year","genre","bitrate","album"
"Ooh Wee (LNRP Mixshow Edit) (Clean)","Mark Ronson Feat Ghostface and Nate Dogg","6:41:23 PM","6:44:44 PM","00:03:21","2","","105","F#m","2011","Hip-Hop","","Ooh Wee CDS"
"Doin It Summertime (Chamos Edit - MXTT HXLL Edit)","LL Cool J x Childish Gambino","6:43:09 PM","6:47:18 PM","00:04:09","1","","105","Am","2020","Other","","CLUB EDITS & REMIXES VOL 1"
"Flap Your Wings - Fresco Remix (Dirty)","Nelly","6:45:11 PM","6:50:35 PM","00:05:24","2","","105","Em","2020","Hip Hop","",""
"Saturday (Oooh Ooooh) (XMiX Remix) (Xpress No Hype Edit) (Dirty)","Ludacris","6:48:18 PM","6:52:21 PM","00:04:03","1","","106","G#m","2019","Urban","","XMiX Xpress Remix Series (Jun 2019 - Week 2)"
"Mine All Mine featuring Jack Davey","Trackademicks","6:50:35 PM","6:54:56 PM","00:04:21","2","","106","Fm","2019","Other","","The [Re]Mixtape Vol. 5 - LOOSIES (CDQ, NO DJ))"
"I Hate U (Beat Thrillerz Remix Explicit)","Sza","6:53:03 PM","6:56:40 PM","00:03:37","1","","107","Gm","2021","Pop","","Funkymix 275"
"Back It Up (Original Version)","Caro Emerald","6:54:56 PM","6:58:35 PM","00:03:39","2","","108","Am","2013","Other","",""
"10%","Kaytranada (feat Kali Uchis)","6:56:55 PM","7:01:32 PM","00:04:37","1","","108","Em","2019","Electronic","","BUBBA"
"10%","Kaytranada (feat Kali Uchis)","6:58:35 PM","6:59:14 PM","00:00:39","2","","108","Em","2019","Electronic","","BUBBA"
"It's a Shame (CLEAN) (MM Edit)","Monie Love","6:59:14 PM","7:02:20 PM","00:03:06","2","","108","Eb","1990","90s Hip Hop New Jack Swing","","DJ Mighty Moves Edits - Native Tongues"
"Need You Tonight (MCB Edit)","INXS","7:01:44 PM","7:03:19 PM","00:01:35","1","","109","Cm","","Other","",""
"Need You Tonight (MCB Edit)","INXS","7:02:20 PM","7:06:57 PM","00:04:37","2","","109","Cm","","Other","",""
"Need You Tonight (MCB Edit)","INXS","7:03:21 PM","7:03:36 PM","00:00:15","1","","109","Cm","","Other","",""
"Need You Tonight (MCB Edit)","INXS","7:03:37 PM","7:06:57 PM","00:03:20","1","","109","Cm","","Other","",""
