"name","artist","start time","end time","playtime","deck","","song","bpm","key","year","genre"
"No Scrubs (f r a n c h i s e. Remix)","Franchise","11:14:53 PM","11:19:05 PM","00:04:12","1","","No Scrubs (f r a n c h i s e. Remix)","108","Bm","2020",""
"No Scrubs (f r a n c h i s e. Remix)","Franchise","11:16:37 PM","11:17:03 PM","00:00:26","2","","No Scrubs (f r a n c h i s e. Remix)","108","Bm","2020",""
"Mighty Healthy (THUGLI Remix)","Ghostface Killah","11:17:03 PM","11:20:13 PM","00:03:10","2","","Mighty Healthy (THUGLI Remix)","108","Dm","2021","Other"
"King Most ""Problem Like What Greedy G""","King Most","11:19:05 PM","11:22:16 PM","00:03:11","1","","King Most ""Problem Like What Greedy G""","109","Ebm","2022",""
"Blue Cheese (Intro Clean)","The UMC's","11:20:13 PM","11:23:42 PM","00:03:29","2","","Blue Cheese (Intro Clean)","109","Bbm","1991","Hip Hop"
"U Know Whats Up (DJ Bizzon Rollin Bootleg) CLEAN","Donell Jones","11:22:43 PM","11:26:45 PM","00:04:02","1","","U Know Whats Up (DJ Bizzon Rollin Bootleg) CLEAN","110","Ebm","",""
"Jade x Slum Village - Dont Walk Away (Double A 'from The Bay' Flip)","dØ𝔲𝔟ʟ𝔢 ₳ ‘𝚏𝚛𝚘𝚖 𝚃𝚑𝚎 𝙱𝚊𝚢’","11:23:42 PM","11:28:45 PM","00:05:03","2","","Jade x Slum Village - Dont Walk Away (Double A 'from The Bay' Flip)","110","F#m","2021",""
"MXTT HXLL x RICHTANNER - Lit Like This (Dirty)","MXTT HXLL","11:26:45 PM","11:32:50 PM","00:06:05","1","","MXTT HXLL x RICHTANNER - Lit Like This (Dirty)","110","G#m","2021",""
"Lost In Paris (DJP Edit)","Tom Misch","11:29:01 PM","11:33:29 PM","00:04:28","2","","Lost In Paris (DJP Edit)","110","Gm","2019","Other"
"Alegría (Yuksek Remix)","Elia y Elizabeth","11:32:50 PM","11:35:09 PM","00:02:19","1","","Alegría (Yuksek Remix)","111","Am","2020","Electronic"
"Pass The Dutch (LNRP Mixshow Edit) (Clean)","Missy Elliot","11:34:28 PM","11:36:57 PM","00:02:29","2","","Pass The Dutch (LNRP Mixshow Edit) (Clean)","111","C#m","2003","Other"
"Find A Way (Double A 'from The Bay' Flip)","A Tribe Called Quest","11:35:57 PM","11:38:59 PM","00:03:02","1","","Find A Way (Double A 'from The Bay' Flip)","112","G#m","2020","Other"
"Walking Into Sunshine (Short Edit)","Central Line","11:36:57 PM","11:40:51 PM","00:03:54","2","","Walking Into Sunshine (Short Edit)","112","Fm","1981","80's Funk/Soul"
"Serious (SE) (Rowshay Edit)","Donna Allen","11:39:07 PM","11:45:36 PM","00:06:29","1","","Serious (SE) (Rowshay Edit)","110","Fm","","80s"
"Saturday (Oooh! Ooooh!) - Quinoa Jones Remix (Clean)","Ludacris (feat Sleepy Brown)","11:40:51 PM","11:45:36 PM","00:04:45","2","","Saturday (Oooh! Ooooh!) - Quinoa Jones Remix (Clean)","110","Fm","2021","Hip Hop"
