"name","artist","start time","end time","playtime","deck","","song","bpm","key","year","genre"
"10/6/2021","","10/6/2021 9:05:08 PM","10/11/2021 3:28:10 PM","114:23:02","","","10/6/2021","","","",""
"Hotter Reggae Music (Nick Bike Edit Acap Out - Short)","Welton Irie","9:05:08 PM","9:05:41 PM","00:00:33","2","","Hotter Reggae Music (Nick Bike Edit Acap Out - Short)","80","F#m","","Other"
"Love Tonight (David Guetta Remix)","SHOUSE","9:05:41 PM","9:06:01 PM","00:00:20","2","","Love Tonight (David Guetta Remix)","126","Cm","2021","Dance"
"I'm Still In Love With You (Nick Bike Edit)","Sean Paul ft. Sasha","9:06:01 PM","9:06:19 PM","00:00:18","2","","I'm Still In Love With You (Nick Bike Edit)","87","Em","","Other"
"Heartbreaker (XMiX Short Cut)","Mariah Carey feat. Jay-Z","9:06:19 PM","9:06:22 PM","00:00:03","2","","Heartbreaker (XMiX Short Cut)","100","Gm","2021","Urban"
"Heartbreaker (Remix) (XMiX Short Cut)","Mariah Carey feat. Da Brat & Missy Elliott","9:06:22 PM","9:06:24 PM","00:00:02","2","","Heartbreaker (Remix) (XMiX Short Cut)","101","Cm","2021","Urban"
"Heartbreaker (Remix) (XMiX Short Cut)","Mariah Carey feat. Da Brat & Missy Elliott","9:06:24 PM","9:07:00 PM","00:00:36","2","","Heartbreaker (Remix) (XMiX Short Cut)","101","Cm","2021","Urban"
"Scoop (Nick Bike Edit) (Dirty)","Lil Nas X ft. Doja Cat","9:07:00 PM","9:07:02 PM","00:00:02","2","","Scoop (Nick Bike Edit) (Dirty)","82","Bbm","","Other"
"Scoop (Nick Bike Edit) (Dirty)","Lil Nas X ft. Doja Cat","9:07:02 PM","9:07:25 PM","00:00:23","2","","Scoop (Nick Bike Edit) (Dirty)","82","Bbm","","Other"
"THATS WHAT I WANT (XMiX Remix) (176 BPM) (Clean)","Lil Nas X","9:07:25 PM","9:07:41 PM","00:00:16","2","","THATS WHAT I WANT (XMiX Remix) (176 BPM) (Clean)","176","G#m","2021","Urban"
"Big Energy (PO Intro Edit)","Latto","9:07:41 PM","9:12:07 PM","00:04:26","2","","Big Energy (PO Intro Edit)","106","Em","2021","Hip-Hop"
"Big Energy (PO Intro Edit)","Latto","9:07:59 PM","9:11:00 PM","00:03:01","1","","Big Energy (PO Intro Edit)","106","Em","2021","Hip-Hop"
"Flap Your Wings - Fresco Remix (Dirty)","Nelly","9:11:00 PM","9:13:40 PM","00:02:40","1","","Flap Your Wings - Fresco Remix (Dirty)","105","Dbm","2020","Hip Hop"
"Somebody (Intro)","Natalie La Rose ft. Jeremih","9:12:07 PM","9:12:22 PM","00:00:15","2","","Somebody (Intro)","105","C","",""
"Truffle Butter (Intro - Dirty)","Nicki Minaj (feat Drake & Lil Wayne)","9:12:22 PM","9:15:37 PM","00:03:15","2","","Truffle Butter (Intro - Dirty)","105","11m","",""
"Freek-A-Leek (DJ Bizzon Still Be Friends Bootleg) DIRTY","Petey Pablo","9:13:45 PM","9:14:21 PM","00:00:36","1","","Freek-A-Leek (DJ Bizzon Still Be Friends Bootleg) DIRTY","105","Gm","",""
"House of Pain - Jump Around (Second Hand Audio Remix)","Second Hand Audio","9:14:21 PM","9:14:52 PM","00:00:31","1","","House of Pain - Jump Around (Second Hand Audio Remix)","105","Ebm","2018",""
"Dub Be Good To Me (A.Skillz Remix) (SE) (Marty Mar Edit)","SOS Band ","9:14:52 PM","9:16:31 PM","00:01:39","1","","Dub Be Good To Me (A.Skillz Remix) (SE) (Marty Mar Edit)","105","Cm","","80s"
"Sir Duke (DJ Bizzon Cant Stop Wont Stop Bootleg) CLEAN","Stevie Wonder","9:15:37 PM","9:15:52 PM","00:00:15","2","","Sir Duke (DJ Bizzon Cant Stop Wont Stop Bootleg) CLEAN","105","Abm","",""
"Sir Duke (DJ Bizzon Cant Stop Wont Stop Bootleg) CLEAN","Stevie Wonder","9:15:52 PM","9:17:18 PM","00:01:26","2","","Sir Duke (DJ Bizzon Cant Stop Wont Stop Bootleg) CLEAN","105","Abm","",""
"Wishing Well (Clean) (Extended)","Terence Trent D'Arby","9:16:31 PM","9:18:28 PM","00:01:57","1","","Wishing Well (Clean) (Extended)","105","Ebm","","Top 40"
"PAPAS BEATS","The Gaff","9:17:20 PM","9:19:12 PM","00:01:52","2","","PAPAS BEATS","105","Gm","2020",""
"Hawaiian Love Song","The Surfers","9:18:28 PM","9:18:37 PM","00:00:09","1","","Hawaiian Love Song","105","A","","Surf/Island"
"I Know What Boys Like (Intro Clean)","The Waitresses","9:18:37 PM","9:19:45 PM","00:01:08","1","","I Know What Boys Like (Intro Clean)","105","E","1982","Pop"
"Ain't 2 Proud 2 Beg - (Kutt Edit)","TLC","9:19:12 PM","9:20:52 PM","00:01:40","2","","Ain't 2 Proud 2 Beg - (Kutt Edit)","105","Cm","","90s"
"So Good (Nick Bike QH Acap Out Edit)","Tuxedo","9:19:45 PM","9:21:56 PM","00:02:11","1","","So Good (Nick Bike QH Acap Out Edit)","105","Gm","","Other"
"Slight Work (Intro - Dirty)","Wale","9:20:52 PM","9:23:08 PM","00:02:16","2","","Slight Work (Intro - Dirty)","105","G#m","","Other"
"Da Mystery of Chess Boxin (LNRP Mixshow Edit) (Dirty)","Wu-Tang Clan","9:21:59 PM","9:24:00 PM","00:02:01","1","","Da Mystery of Chess Boxin (LNRP Mixshow Edit) (Dirty)","105","Ebm","1994","Other"
"Ooh Wee (LNRP Mixshow Edit) (Clean)","Mark Ronson Feat Ghostface and Nate Dogg","9:23:08 PM","9:24:59 PM","00:01:51","2","","Ooh Wee (LNRP Mixshow Edit) (Clean)","105","F#m","2011","Hip-Hop"
"Work It (DJ Smerk Mash Up)","Missy Elliot x Diplo","9:24:02 PM","9:26:12 PM","00:02:10","1","","Work It (DJ Smerk Mash Up)","105","G#m","","Other"
"This Is How We Do It (DJ Bizzon Fresh Prince Bootleg) CLEAN And I Hate You All","Montell Jordan","9:24:59 PM","9:27:41 PM","00:02:42","2","","This Is How We Do It (DJ Bizzon Fresh Prince Bootleg) CLEAN And I Hate You All","105","Bbm","",""
"P-Lo - Same Squad (MXTT HXLL Remix)","MXTT HXLL","9:26:15 PM","9:28:09 PM","00:01:54","1","","P-Lo - Same Squad (MXTT HXLL Remix)","105","Fm","2020",""
"Kick Push (DJ Bizzon What I Like Bootleg) CLEAN","Lupe Fiasco","9:27:41 PM","9:28:20 PM","00:00:39","2","","Kick Push (DJ Bizzon What I Like Bootleg) CLEAN","105","Am","",""
"MADVILLAIN - ALL CAPS (MXTT HXLL EDIT)","MXTT HXLL","9:28:09 PM","9:28:13 PM","00:00:04","1","","MADVILLAIN - ALL CAPS (MXTT HXLL EDIT)","100","Bbm","2021",""
"MADVILLAIN - ALL CAPS (MXTT HXLL EDIT)","MXTT HXLL","9:28:13 PM","9:34:00 PM","00:05:47","1","","MADVILLAIN - ALL CAPS (MXTT HXLL EDIT)","100","Bbm","2021",""
"MADVILLAIN - ALL CAPS (MXTT HXLL EDIT)","MXTT HXLL","9:28:20 PM","9:32:51 PM","00:04:31","2","","MADVILLAIN - ALL CAPS (MXTT HXLL EDIT)","100","Bbm","2021",""
"ll Cool J x Childish Gambino - Doin It Summertime (Chamos Edit - MXTT HXLL Edit)","MXTT HXLL","9:32:51 PM","9:34:28 PM","00:01:37","2","","ll Cool J x Childish Gambino - Doin It Summertime (Chamos Edit - MXTT HXLL Edit)","105","Am","2020",""
"Metro Boomin & Gunna - Space Cadet (MXTT HXLL 'Man Down' Edit)","MXTT HXLL","9:34:05 PM","9:35:27 PM","00:01:22","1","","Metro Boomin & Gunna - Space Cadet (MXTT HXLL 'Man Down' Edit)","108","Bbm","2020",""
"Drop The Pressure","MXTT HXLL","9:34:28 PM","9:36:10 PM","00:01:42","2","","Drop The Pressure","130","E","2021",""
"MXTT HXLL - Shabba","MXTT HXLL","9:35:27 PM","9:38:13 PM","00:02:46","1","","MXTT HXLL - Shabba","130","Db","2020",""
"MXTT HXLL - Whats Next (Dirty)","MXTT HXLL","9:36:10 PM","9:39:12 PM","00:03:02","2","","MXTT HXLL - Whats Next (Dirty)","128","F#m","2021",""
"Bota","OAKK","9:38:24 PM","9:42:22 PM","00:03:58","1","","Bota","74","Fm","2021",""
"I WANNA ROCC","SALVA","9:39:12 PM","9:43:34 PM","00:04:22","2","","I WANNA ROCC","76","F#m","2021",""
"LOYALTY","Cerdin","9:42:22 PM","3:28:10 PM","113:45:48","1","","LOYALTY","72","Em","2021",""
