"name","artist","start time","end time","playtime","deck","","song","bpm","key","year","genre"
"4/28/2022","","4/28/2022 11:23:29 AM","4/28/2022 1:35:41 PM","02:12:12","","","4/28/2022","","","",""
"Big Poppa (Tommy Simone Edit)","The Notorious B.I.G.","11:23:29 AM","11:32:28 AM","00:08:59","1","","Big Poppa (Tommy Simone Edit)","85","Am","1994","Hip-Hop"
"It's Goin' Down (MCB Clean Edit)","Yung Joc","11:24:24 AM","11:34:54 AM","00:10:30","2","","It's Goin' Down (MCB Clean Edit)","84","G#m","2006","Other"
"Started From The Bottom (Intro - Clean)","Drake","11:32:28 AM","11:37:11 AM","00:04:43","1","","Started From The Bottom (Intro - Clean)","86","Am","","Other"
"Don't Take It Personal (MCB X-Mix Edit)","Monica","11:34:54 AM","11:39:05 AM","00:04:11","2","","Don't Take It Personal (MCB X-Mix Edit)","88","Eb","1995","Other"
"Shake Ya Tailfeather (Clean / Short Edit)","Nelly ft. P. Diddy & Murphy Lee","11:37:11 AM","11:42:55 AM","00:05:44","1","","Shake Ya Tailfeather (Clean / Short Edit)","88","Fm","2003","Other"
"Stutter (Remix) (XMiX Remix)","Joe feat. Mystikal","11:39:05 AM","11:45:25 AM","00:06:20","2","","Stutter (Remix) (XMiX Remix)","90","Ebm","2019","Urban"
"Jockin' Jay Z (Dope Boy Fresh) (Clean Extended Version)","Jay Z","11:42:55 AM","11:48:27 AM","00:05:32","1","","Jockin' Jay Z (Dope Boy Fresh) (Clean Extended Version)","92","Fm","2008","Hip Hop"
"Adina Howard - Freak Like Me (DMS Edit)","Adina Howard","11:45:46 AM","11:52:22 AM","00:06:36","2","","Adina Howard - Freak Like Me (DMS Edit)","93","F#m","","Urban"
"Back That Thang Up (XMiX Short Cut) (Clean)","Juvenile feat. Mannie Fresh & Lil Wayne","11:48:27 AM","11:55:27 AM","00:07:00","1","","Back That Thang Up (XMiX Short Cut) (Clean)","96","Dm","2021","Urban"
"Oye Mi Canto (LNRP Mixshow Edit) (Clean)","N.O.R.E feat Daddy Yankee and Nina Sky","11:52:22 AM","11:57:47 AM","00:05:25","2","","Oye Mi Canto (LNRP Mixshow Edit) (Clean)","96","Bbm","2004","Old School"
"Get Right (XMiX Short Cut)","Jennifer Lopez feat. Fabolous","11:55:27 AM","12:00:18 PM","00:04:51","1","","Get Right (XMiX Short Cut)","97","G#m","2019","Urban"
"In California LNRP Mixshow Edit (Clean)","Daz Dillinger","11:57:47 AM","12:02:10 PM","00:04:23","2","","In California LNRP Mixshow Edit (Clean)","98","Cm","","Other"
"Everyday Of the Week (Marty Mar Edit)","Jade","12:00:22 PM","12:06:20 PM","00:05:58","1","","Everyday Of the Week (Marty Mar Edit)","97","F#m","","90s"
"Disco Inferno (X-Mix Urban)","50 Cent","12:03:04 PM","12:11:16 PM","00:08:12","2","","Disco Inferno (X-Mix Urban)","97","Gm","","Other"
"Pass the Courvoisier Pt II (LNRP Mixshow Edit) (Clean)","Busta Rhymes Feat P Diddy and Pharrell","12:06:20 PM","12:22:37 PM","00:16:17","1","","Pass the Courvoisier Pt II (LNRP Mixshow Edit) (Clean)","98","Em","2002","Rap"
"Too Close (MCB X-Mix Edit)","Next","12:11:16 PM","12:23:18 PM","00:12:02","2","","Too Close (MCB X-Mix Edit)","99","Am","1997","Other"
"Ain't 2 Proud 2 Beg - (SE) (Kutt Edit)","TLC ","12:22:37 PM","12:27:55 PM","00:05:18","1","","Ain't 2 Proud 2 Beg - (SE) (Kutt Edit)","105","Cm","1992","90s"
"Feel So Good LNRP Mixshow Edit (Clean)","Mase","12:23:51 PM","12:25:43 PM","00:01:52","2","","Feel So Good LNRP Mixshow Edit (Clean)","105","Fm","1997","Rap"
"Bootylicious (XMiX Short Cut)","Destiny's Child","12:25:43 PM","12:31:52 PM","00:06:09","2","","Bootylicious (XMiX Short Cut)","104","G#m","2022","Urban"
"Lights Camera Action (LNRP Mix","Mr Cheeks","12:27:55 PM","12:34:12 PM","00:06:17","1","","Lights Camera Action (LNRP Mix","105","F#m","2001","Rap"
"Tonite (Intro Clean)","DJ Quik","12:31:52 PM","12:37:33 PM","00:05:41","2","","Tonite (Intro Clean)","105","Am","1991","Hip Hop"
"Turn Me On (SE) (Ontic Edit)","Kevin Lyttle","12:34:12 PM","12:39:59 PM","00:05:47","1","","Turn Me On (SE) (Ontic Edit)","106","C#m","2003","00s"
"Livin It Up (XMiX Remix) (Xpress No Hype Edit)","Ja Rule feat. Case","12:37:33 PM","12:43:56 PM","00:06:23","2","","Livin It Up (XMiX Remix) (Xpress No Hype Edit)","106","G#m","2019","Urban"
"Got Some Teeth (Audio1 Edit) (Clean)","Obie Trice","12:39:59 PM","12:49:11 PM","00:09:12","1","","Got Some Teeth (Audio1 Edit) (Clean)","106","Cm","2003","Rap, Hip-Hop"
"Bell Biv Devoe - Do Me (DJ Edit)","Bel Biv Devoe","12:43:56 PM","12:49:41 PM","00:05:45","2","","Bell Biv Devoe - Do Me (DJ Edit)","108","Gm","1990","90s"
"Feel Me Flow (Radio Edit)","Naughty By Nature","12:49:11 PM","12:52:59 PM","00:03:48","1","","Feel Me Flow (Radio Edit)","90","Ebm","1995","Other"
"What About Us (Intro Clean)","Total ft Timbaland & Missy Elliott","12:49:41 PM","12:56:09 PM","00:06:28","2","","What About Us (Intro Clean)","89","Am","1997","R&B"
"Hey Ma (YBB Edit)","Cam'ron","12:52:59 PM","12:58:50 PM","00:05:51","1","","Hey Ma (YBB Edit)","90","G#m","","00s"
"Blu Cantrell feat. Sean Paul - Breathe (Mixfits Short Edit) - 92","Blu Cantrell feat. Sean Paul - Breathe (Mixfits Short Edit) - 92","12:56:09 PM","1:01:41 PM","00:05:32","2","","Blu Cantrell feat. Sean Paul - Breathe (Mixfits Short Edit) - 92","92","Bm","","Other"
"So Many Tears (LNRP Mixshow Edit) (Clean)","2Pac","12:58:50 PM","1:04:21 PM","00:05:31","1","","So Many Tears (LNRP Mixshow Edit) (Clean)","93","Fm","1995","Old School"
"Tainted (LNRP Mixshow Edit) (Clean)","Slum Village feat Dwele","1:01:41 PM","1:06:31 PM","00:04:50","2","","Tainted (LNRP Mixshow Edit) (Clean)","93","F#m","2002","Old School"
"Ms. Jackson (XMiX Short Cut) (Clean)","Outkast","1:04:21 PM","1:35:41 PM","00:31:20","1","","Ms. Jackson (XMiX Short Cut) (Clean)","95","Am","2021","Urban"
"One Minute Man (MCB Edit CLEAN)","Missy Elliot","1:06:31 PM","1:35:41 PM","00:29:10","2","","One Minute Man (MCB Edit CLEAN)","94","Am","","Other"
