"name","artist","start time","end time","playtime","deck","","song","bpm","key","year","genre"
"Bonita Applebaum (LNRP Mixshow Edit) (Clean)","A Tribe Called Quest","9:39:59 PM","9:40:02 PM","00:00:03","2","","Bonita Applebaum (LNRP Mixshow Edit) (Clean)","92","Bm","1990","Hip-Hop"
"Bonita Applebaum (LNRP Mixshow Edit) (Clean)","A Tribe Called Quest","9:40:02 PM","9:42:05 PM","00:02:03","2","","Bonita Applebaum (LNRP Mixshow Edit) (Clean)","92","Bm","1990","Hip-Hop"
"Jazz (We've Got) (Clean)","A Tribe Called Quest","9:40:40 PM","9:45:28 PM","00:04:48","1","","Jazz (We've Got) (Clean)","92","Ebm","","Hip Hop"
"Paul Revere (LNRP Mixshow Edit)","Beastie Boys","9:42:09 PM","9:42:54 PM","00:00:45","2","","Paul Revere (LNRP Mixshow Edit)","92","G#m","1988","Hip-Hop"
"Slow Motion","Color Me Badd","9:42:54 PM","9:46:25 PM","00:03:31","2","","Slow Motion","92","G#m","1991","Other"
"telepatia - DJ Santarosa What's The Difference Edit","Kali Uchis","9:45:28 PM","9:47:42 PM","00:02:14","1","","telepatia - DJ Santarosa What's The Difference Edit","92","Bm","2021","Latin"
"The Mad Scientist (LNRP Mixshow Edit) (Clean)","Large Professor","9:46:31 PM","9:46:48 PM","00:00:17","2","","The Mad Scientist (LNRP Mixshow Edit) (Clean)","92","Em","1996","Other"
"Born to Roll (LNRP Mixshow Edit) (Clean)","Masta Ace","9:46:48 PM","9:48:47 PM","00:01:59","2","","Born to Roll (LNRP Mixshow Edit) (Clean)","92","G#m","1994","Hip-Hop"
"Uno Dos Tres","Miles Medina","9:47:44 PM","9:47:59 PM","00:00:15","1","","Uno Dos Tres","92","Bbm","2021",""
"Get Up (LNRP Mixshow Edit) (Clean)","Nate Dogg (feat Eve)","9:47:59 PM","9:50:17 PM","00:02:18","1","","Get Up (LNRP Mixshow Edit) (Clean)","92","F#m","2002","Rap"
"Jamboree (LNRP Mixshow Edit) (Clean)","Naughty By Nature feat Zhane","9:48:47 PM","9:49:10 PM","00:00:23","2","","Jamboree (LNRP Mixshow Edit) (Clean)","92","Gm","1999","Old School"
"Get Up (LNRP Mixshow Edit) (Clean)","Nate Dogg (feat Eve)","9:49:20 PM","9:49:35 PM","00:00:15","2","","Get Up (LNRP Mixshow Edit) (Clean)","92","F#m","2002","Rap"
"Jamboree (LNRP Mixshow Edit) (Clean)","Naughty By Nature feat Zhane","9:49:35 PM","9:53:04 PM","00:03:29","2","","Jamboree (LNRP Mixshow Edit) (Clean)","92","Gm","1999","Old School"
"Who Dubbed Ya","Nick Bike","9:50:17 PM","9:52:18 PM","00:02:01","1","","Who Dubbed Ya","92","Abm","","Other"
