"name","artist","start time","end time","playtime","deck","","song","bpm","key","year","genre"
"Biting My Nails (1988)","Renegade Soundwave","7:21:00 PM","7:21:45 PM","00:00:45","1","","Biting My Nails (1988)","121","F#m","1996","Electronic"
"I Need a (Super) Freak (QH) (MM Edit)","Sexual Harrassment","7:21:45 PM","7:23:47 PM","00:02:02","1","","I Need a (Super) Freak (QH) (MM Edit)","121","Fm","1983","80s Pop RnB Electronic Halloween"
"I Wanna Be The One (Intro Clean)","Stevie B","7:22:56 PM","7:25:25 PM","00:02:29","2","","I Wanna Be The One (Intro Clean)","121","Fm","1988","Freestyle"
"Tom's Diner (John ""J-C"" Carr Remix)","Suzanne Vega","7:23:47 PM","7:24:08 PM","00:00:21","1","","Tom's Diner (John ""J-C"" Carr Remix)","121","F#m","2020","Dance"
"I Love My Radio (Hot Tracks Remix)","Taffy","7:24:08 PM","7:26:44 PM","00:02:36","1","","I Love My Radio (Hot Tracks Remix)","121","Am","","Other"
"Security [Club Mix]","The Beat Club","7:25:25 PM","7:29:29 PM","00:04:04","2","","Security [Club Mix]","121","F#m","2013","Electronic"
"Papa Was A Rollin' Stone (Nick Bike Edit)","The Temptations","7:26:44 PM","7:31:32 PM","00:04:48","1","","Papa Was A Rollin' Stone (Nick Bike Edit)","121","Bbm","","Other"
"Warlock [Acetate Mix]","Todd Terry featuring Black Riot","7:29:37 PM","7:33:22 PM","00:03:45","2","","Warlock [Acetate Mix]","121","Am","","Other"
"Wee Papa Girl Rappers - Heat It Up (Kevin Saunderson Remix Edit)","","7:31:32 PM","7:34:04 PM","00:02:32","1","","Wee Papa Girl Rappers - Heat It Up (Kevin Saunderson Remix Edit)","121","Em","","Blues"
"I'm Talking To You (Original Mix)","Angelo Ferreri","7:33:22 PM","7:36:38 PM","00:03:16","2","","I'm Talking To You (Original Mix)","122","Bm","2018","House"
"Hoffnung (Shai T Remix)","Antrim","7:34:04 PM","7:38:57 PM","00:04:53","1","","Hoffnung (Shai T Remix)","122","Gm","2021-01-18","Organic House / Downtempo"
"Darlin'","Arno Cost & Norman Doray","7:36:38 PM","7:39:54 PM","00:03:16","2","","Darlin'","122","Ebm","2020","House"
